Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;1
1ªDose;2021-01-28;1
1ªDose;2021-01-29;2
1ªDose;2021-02-03;11
1ªDose;2021-02-05;9
1ªDose;2021-02-08;20
1ªDose;2021-02-09;19
1ªDose;2021-02-10;27
1ªDose;2021-02-11;62
1ªDose;2021-02-12;30
1ªDose;2021-02-19;10
1ªDose;2021-03-03;80
1ªDose;2021-03-05;26
1ªDose;2021-03-06;256
1ªDose;2021-03-09;3
1ªDose;2021-03-12;9
1ªDose;2021-03-17;9
1ªDose;2021-03-20;216
1ªDose;2021-03-24;104
1ªDose;2021-03-25;376
1ªDose;2021-03-26;1
1ªDose;2021-03-30;5
1ªDose;2021-03-31;43
1ªDose;2021-04-03;2
1ªDose;2021-04-04;456
1ªDose;2021-04-07;19
1ªDose;2021-04-08;21
1ªDose;2021-04-17;12
1ªDose;2021-04-19;1
1ªDose;2021-04-22;1
1ªDose;2021-04-27;1
2ªDose;2021-01-30;1
2ªDose;2021-02-16;13
2ªDose;2021-02-17;18
2ªDose;2021-02-18;8
2ªDose;2021-02-19;7
2ªDose;2021-02-20;1
2ªDose;2021-02-22;15
2ªDose;2021-02-23;44
2ªDose;2021-02-24;27
2ªDose;2021-02-25;48
2ªDose;2021-02-26;12
2ªDose;2021-03-01;1
2ªDose;2021-03-02;1
2ªDose;2021-03-03;2
2ªDose;2021-03-09;7
2ªDose;2021-03-11;14
2ªDose;2021-03-12;61
2ªDose;2021-03-16;1
2ªDose;2021-03-19;9
2ªDose;2021-03-20;1
2ªDose;2021-03-23;1
2ªDose;2021-03-24;8
2ªDose;2021-03-30;171
2ªDose;2021-03-31;12
2ªDose;2021-04-03;101
2ªDose;2021-04-04;1
2ªDose;2021-04-07;8
2ªDose;2021-04-08;3
2ªDose;2021-04-14;9
2ªDose;2021-04-17;250
2ªDose;2021-04-22;9
2ªDose;2021-04-24;196
2ªDose;2021-04-26;11
2ªDose;2021-04-27;8
2ªDose;2021-04-28;12
2ªDose;2021-04-29;9
