Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;1
1ªDose;2021-01-23;8
1ªDose;2021-01-25;136
1ªDose;2021-01-26;37
1ªDose;2021-01-27;63
1ªDose;2021-01-28;42
1ªDose;2021-01-29;53
1ªDose;2021-02-01;131
1ªDose;2021-02-02;147
1ªDose;2021-02-03;90
1ªDose;2021-02-04;95
1ªDose;2021-02-05;1
1ªDose;2021-02-08;56
1ªDose;2021-02-09;53
1ªDose;2021-02-10;33
1ªDose;2021-02-11;19
1ªDose;2021-02-12;9
1ªDose;2021-02-13;120
1ªDose;2021-02-15;48
1ªDose;2021-02-16;32
1ªDose;2021-02-17;27
1ªDose;2021-02-18;83
1ªDose;2021-02-19;60
1ªDose;2021-02-22;60
1ªDose;2021-02-23;31
1ªDose;2021-02-24;11
1ªDose;2021-02-25;8
1ªDose;2021-02-26;2
1ªDose;2021-03-01;54
1ªDose;2021-03-03;89
1ªDose;2021-03-04;23
1ªDose;2021-03-05;249
1ªDose;2021-03-06;1
1ªDose;2021-03-08;8
1ªDose;2021-03-09;68
1ªDose;2021-03-10;52
1ªDose;2021-03-11;95
1ªDose;2021-03-12;40
1ªDose;2021-03-15;155
1ªDose;2021-03-16;79
1ªDose;2021-03-17;140
1ªDose;2021-03-18;54
1ªDose;2021-03-19;31
1ªDose;2021-03-21;32
1ªDose;2021-03-22;48
1ªDose;2021-03-23;81
1ªDose;2021-03-24;147
1ªDose;2021-03-25;1902
1ªDose;2021-03-26;2
1ªDose;2021-03-29;44
1ªDose;2021-03-30;28
1ªDose;2021-03-31;220
1ªDose;2021-04-05;133
1ªDose;2021-04-06;191
1ªDose;2021-04-07;414
1ªDose;2021-04-08;384
1ªDose;2021-04-09;47
1ªDose;2021-04-12;4
1ªDose;2021-04-13;69
1ªDose;2021-04-14;129
1ªDose;2021-04-15;297
1ªDose;2021-04-16;136
1ªDose;2021-04-19;66
1ªDose;2021-04-20;396
1ªDose;2021-04-21;63
1ªDose;2021-04-22;97
1ªDose;2021-04-23;125
1ªDose;2021-04-24;29
1ªDose;2021-04-26;5
1ªDose;2021-04-27;203
1ªDose;2021-04-28;115
1ªDose;2021-04-29;100
1ªDose;2021-04-30;57
2ªDose;2021-01-22;1
2ªDose;2021-02-02;1
2ªDose;2021-02-14;1
2ªDose;2021-02-16;30
2ªDose;2021-02-17;4
2ªDose;2021-02-18;21
2ªDose;2021-02-19;18
2ªDose;2021-02-22;127
2ªDose;2021-02-23;41
2ªDose;2021-02-24;22
2ªDose;2021-02-25;5
2ªDose;2021-02-26;3
2ªDose;2021-03-01;2
2ªDose;2021-03-02;2
2ªDose;2021-03-03;17
2ªDose;2021-03-04;4
2ªDose;2021-03-08;7
2ªDose;2021-03-09;12
2ªDose;2021-03-10;22
2ªDose;2021-03-11;14
2ªDose;2021-03-12;101
2ªDose;2021-03-13;5
2ªDose;2021-03-15;18
2ªDose;2021-03-16;2
2ªDose;2021-03-17;37
2ªDose;2021-03-18;58
2ªDose;2021-03-19;49
2ªDose;2021-03-22;59
2ªDose;2021-03-23;26
2ªDose;2021-03-24;20
2ªDose;2021-03-25;1
2ªDose;2021-03-29;7
2ªDose;2021-03-30;3
2ªDose;2021-04-05;34
2ªDose;2021-04-06;43
2ªDose;2021-04-07;35
2ªDose;2021-04-08;30
2ªDose;2021-04-09;134
2ªDose;2021-04-10;1
2ªDose;2021-04-12;58
2ªDose;2021-04-13;67
2ªDose;2021-04-14;155
2ªDose;2021-04-15;43
2ªDose;2021-04-16;7
2ªDose;2021-04-19;91
2ªDose;2021-04-20;61
2ªDose;2021-04-21;1
2ªDose;2021-04-22;1689
2ªDose;2021-04-23;4
2ªDose;2021-04-24;1
2ªDose;2021-04-26;16
2ªDose;2021-04-27;3
2ªDose;2021-04-28;4
2ªDose;2021-04-29;10
