Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;11
1ªDose;2021-01-22;2
1ªDose;2021-01-23;1
1ªDose;2021-01-25;38
1ªDose;2021-01-26;745
1ªDose;2021-01-27;1483
1ªDose;2021-01-28;1197
1ªDose;2021-01-29;808
1ªDose;2021-01-30;47
1ªDose;2021-02-01;665
1ªDose;2021-02-02;681
1ªDose;2021-02-03;704
1ªDose;2021-02-04;560
1ªDose;2021-02-05;292
1ªDose;2021-02-08;36
1ªDose;2021-02-09;31
1ªDose;2021-02-11;2
1ªDose;2021-02-12;371
1ªDose;2021-02-15;181
1ªDose;2021-02-18;1
1ªDose;2021-02-22;8
1ªDose;2021-02-23;1
1ªDose;2021-02-24;1
1ªDose;2021-02-26;835
1ªDose;2021-02-27;1034
1ªDose;2021-02-28;706
1ªDose;2021-03-01;68
1ªDose;2021-03-02;8
1ªDose;2021-03-03;3
1ªDose;2021-03-04;3
1ªDose;2021-03-05;1
1ªDose;2021-03-11;40
1ªDose;2021-03-22;64
1ªDose;2021-03-24;112
1ªDose;2021-03-25;22
1ªDose;2021-03-29;3
1ªDose;2021-03-30;10
1ªDose;2021-04-03;1
1ªDose;2021-04-04;88
1ªDose;2021-04-05;53
1ªDose;2021-04-06;115
1ªDose;2021-04-07;31
1ªDose;2021-04-08;93
1ªDose;2021-04-09;71
1ªDose;2021-04-10;60
1ªDose;2021-04-11;3692
1ªDose;2021-04-12;38
1ªDose;2021-04-13;73
1ªDose;2021-04-14;121
1ªDose;2021-04-15;110
1ªDose;2021-04-16;40
1ªDose;2021-04-17;3810
1ªDose;2021-04-18;4296
1ªDose;2021-04-19;7
1ªDose;2021-04-20;36
1ªDose;2021-04-21;35
1ªDose;2021-04-22;452
1ªDose;2021-04-23;42
1ªDose;2021-04-26;44
1ªDose;2021-04-27;3145
1ªDose;2021-04-28;1800
1ªDose;2021-04-29;64
1ªDose;2021-04-30;150
2ªDose;2021-01-26;1
2ªDose;2021-01-27;4
2ªDose;2021-02-02;2
2ªDose;2021-02-03;4
2ªDose;2021-02-04;1
2ªDose;2021-02-05;1
2ªDose;2021-02-12;1
2ªDose;2021-02-18;1
2ªDose;2021-02-26;1
2ªDose;2021-02-28;1
2ªDose;2021-03-11;1
2ªDose;2021-03-24;1
2ªDose;2021-03-29;2
2ªDose;2021-04-05;1
2ªDose;2021-04-06;5
2ªDose;2021-04-08;2
2ªDose;2021-04-09;3
2ªDose;2021-04-10;7
2ªDose;2021-04-11;7
2ªDose;2021-04-12;1153
2ªDose;2021-04-13;1492
2ªDose;2021-04-14;1409
2ªDose;2021-04-15;1262
2ªDose;2021-04-16;181
2ªDose;2021-04-17;19
2ªDose;2021-04-18;20
2ªDose;2021-04-19;90
2ªDose;2021-04-20;60
2ªDose;2021-04-21;64
2ªDose;2021-04-22;451
2ªDose;2021-04-23;64
2ªDose;2021-04-24;1
2ªDose;2021-04-26;53
2ªDose;2021-04-27;68
2ªDose;2021-04-28;42
2ªDose;2021-04-29;37
2ªDose;2021-04-30;130
2ªDose;2021-05-01;2
