index;count
2021-05-25;11
2021-05-26;11
2021-05-27;22
2021-05-28;32
2021-05-29;32
2021-05-30;32
2021-05-31;32
2021-06-01;32
2021-06-02;32
2021-06-03;32
2021-06-04;32
2021-06-05;32
2021-06-06;32
2021-06-07;32
2021-06-08;32
2021-06-09;32
2021-06-10;32
2021-06-11;32
2021-06-12;32
2021-06-13;32
2021-06-14;32
2021-06-15;32
2021-06-16;32
2021-06-17;32
2021-06-18;32
2021-06-19;32
2021-06-20;32
2021-06-21;32
2021-06-22;32
2021-06-23;32
2021-06-24;32
2021-06-25;32
2021-06-26;32
2021-06-27;32
2021-06-28;32
2021-06-29;32
2021-06-30;32
2021-07-01;42
2021-07-02;53
2021-07-03;53
2021-07-04;53
2021-07-05;53
2021-07-06;64
2021-07-07;83
2021-07-08;88
2021-07-09;88
2021-07-10;88
2021-07-11;88
2021-07-12;88
2021-07-13;98
2021-07-14;98
2021-07-15;98
2021-07-16;98
2021-07-17;190
2021-07-18;190
2021-07-19;200
2021-07-20;209
2021-07-21;219
2021-07-22;229
