index;count
2021-05-04;27
2021-05-05;54
2021-05-06;94
2021-05-07;100
2021-05-08;212
2021-05-09;212
2021-05-10;220
2021-05-11;222
2021-05-12;222
2021-05-13;223
2021-05-14;227
2021-05-15;227
2021-05-16;227
2021-05-17;239
2021-05-18;253
2021-05-19;253
2021-05-20;272
2021-05-21;436
2021-05-22;650
2021-05-23;651
2021-05-24;671
2021-05-25;720
2021-05-26;731
2021-05-27;742
2021-05-28;742
2021-05-29;742
2021-05-30;742
2021-05-31;742
2021-06-01;742
2021-06-02;742
2021-06-03;742
2021-06-04;742
2021-06-05;742
2021-06-06;742
2021-06-07;742
2021-06-08;742
2021-06-09;742
2021-06-10;742
2021-06-11;742
2021-06-12;742
2021-06-13;742
2021-06-14;742
2021-06-15;742
2021-06-16;742
2021-06-17;742
2021-06-18;742
2021-06-19;742
2021-06-20;742
2021-06-21;742
2021-06-22;742
2021-06-23;742
2021-06-24;742
2021-06-25;742
2021-06-26;742
2021-06-27;742
2021-06-28;742
2021-06-29;742
2021-06-30;742
2021-07-01;742
2021-07-02;742
2021-07-03;916
2021-07-04;916
2021-07-05;1202
2021-07-06;1202
2021-07-07;1202
2021-07-08;1202
2021-07-09;1202
2021-07-10;1503
2021-07-11;1891
2021-07-12;1976
2021-07-13;2002
2021-07-14;2002
2021-07-15;2022
2021-07-16;2036
2021-07-17;2077
2021-07-18;2419
2021-07-19;2461
2021-07-20;2789
2021-07-21;2792
