index;count
2021-05-26;19
2021-05-27;37
2021-05-28;37
2021-05-29;47
2021-05-30;47
2021-05-31;47
2021-06-01;47
2021-06-02;47
2021-06-03;47
2021-06-04;47
2021-06-05;47
2021-06-06;47
2021-06-07;47
2021-06-08;47
2021-06-09;47
2021-06-10;47
2021-06-11;47
2021-06-12;47
2021-06-13;47
2021-06-14;47
2021-06-15;47
2021-06-16;47
2021-06-17;47
2021-06-18;47
2021-06-19;47
2021-06-20;47
2021-06-21;47
2021-06-22;47
2021-06-23;47
2021-06-24;57
2021-06-25;57
2021-06-26;69
2021-06-27;69
2021-06-28;69
2021-06-29;69
2021-06-30;69
2021-07-01;69
2021-07-02;69
2021-07-03;69
2021-07-04;69
2021-07-05;113
2021-07-06;113
2021-07-07;113
2021-07-08;113
2021-07-09;113
2021-07-10;113
2021-07-11;113
2021-07-12;113
2021-07-13;113
2021-07-14;113
2021-07-15;113
2021-07-16;156
2021-07-17;189
2021-07-18;189
2021-07-19;194
2021-07-20;194
2021-07-21;334
2021-07-22;334
2021-07-23;334
2021-07-24;337
