index;count
2021-05-07;9
2021-05-08;9
2021-05-09;9
2021-05-10;9
2021-05-11;9
2021-05-12;9
2021-05-13;9
2021-05-14;9
2021-05-15;9
2021-05-16;9
2021-05-17;9
2021-05-18;9
2021-05-19;9
2021-05-20;9
2021-05-21;9
2021-05-22;18
2021-05-23;18
2021-05-24;18
2021-05-25;27
2021-05-26;57
2021-05-27;68
2021-05-28;68
2021-05-29;68
2021-05-30;68
2021-05-31;68
2021-06-01;68
2021-06-02;68
2021-06-03;68
2021-06-04;68
2021-06-05;68
2021-06-06;68
2021-06-07;68
2021-06-08;68
2021-06-09;68
2021-06-10;68
2021-06-11;68
2021-06-12;68
2021-06-13;68
2021-06-14;68
2021-06-15;68
2021-06-16;68
2021-06-17;68
2021-06-18;68
2021-06-19;68
2021-06-20;68
2021-06-21;78
2021-06-22;89
2021-06-23;89
2021-06-24;89
2021-06-25;89
2021-06-26;89
2021-06-27;89
2021-06-28;89
2021-06-29;89
2021-06-30;89
2021-07-01;89
2021-07-02;89
2021-07-03;104
2021-07-04;104
2021-07-05;125
2021-07-06;130
2021-07-07;130
2021-07-08;130
2021-07-09;130
2021-07-10;130
2021-07-11;130
2021-07-12;153
2021-07-13;190
2021-07-14;190
2021-07-15;211
2021-07-16;240
2021-07-17;240
2021-07-18;240
2021-07-19;313
2021-07-20;342
2021-07-21;347
