Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-25;1
1ªDose;2021-02-10;18
1ªDose;2021-02-11;20
1ªDose;2021-02-12;11
1ªDose;2021-03-01;31
1ªDose;2021-03-02;42
1ªDose;2021-03-03;22
1ªDose;2021-03-05;10
1ªDose;2021-03-06;42
1ªDose;2021-03-08;10
1ªDose;2021-03-12;49
1ªDose;2021-03-22;27
1ªDose;2021-03-23;65
1ªDose;2021-03-24;41
1ªDose;2021-03-25;49
1ªDose;2021-03-26;68
1ªDose;2021-03-27;202
1ªDose;2021-03-29;33
1ªDose;2021-03-30;48
1ªDose;2021-03-31;1
1ªDose;2021-04-13;67
1ªDose;2021-04-14;12
1ªDose;2021-04-15;8
1ªDose;2021-04-16;1
1ªDose;2021-04-17;102
1ªDose;2021-04-19;33
1ªDose;2021-04-20;2
1ªDose;2021-04-21;4
1ªDose;2021-04-24;27
1ªDose;2021-04-27;11
1ªDose;2021-04-28;9
1ªDose;2021-04-29;16
2ªDose;2021-02-12;41
2ªDose;2021-02-13;1
2ªDose;2021-02-17;1
2ªDose;2021-02-18;3
2ªDose;2021-03-06;47
2ªDose;2021-03-26;31
2ªDose;2021-03-31;48
2ªDose;2021-04-05;49
2ªDose;2021-04-13;2
2ªDose;2021-04-15;27
2ªDose;2021-04-16;46
2ªDose;2021-04-17;93
2ªDose;2021-04-19;10
2ªDose;2021-04-20;301
2ªDose;2021-04-22;40
2ªDose;2021-04-29;8
