Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;1
1ªDose;2021-01-25;1
1ªDose;2021-02-09;23
1ªDose;2021-02-10;19
1ªDose;2021-02-11;7
1ªDose;2021-02-12;1
1ªDose;2021-03-01;34
1ªDose;2021-03-02;1
1ªDose;2021-03-03;7
1ªDose;2021-03-08;9
1ªDose;2021-03-09;9
1ªDose;2021-03-10;17
1ªDose;2021-03-11;3
1ªDose;2021-03-12;1
1ªDose;2021-03-15;31
1ªDose;2021-03-16;8
1ªDose;2021-03-17;9
1ªDose;2021-03-18;1
1ªDose;2021-03-22;39
1ªDose;2021-03-23;8
1ªDose;2021-03-24;33
1ªDose;2021-03-25;68
1ªDose;2021-03-26;7
1ªDose;2021-03-29;135
1ªDose;2021-03-30;36
1ªDose;2021-03-31;4
1ªDose;2021-04-01;1
1ªDose;2021-04-05;3
1ªDose;2021-04-06;1
1ªDose;2021-04-07;3
1ªDose;2021-04-08;4
1ªDose;2021-04-09;1
1ªDose;2021-04-12;57
1ªDose;2021-04-13;10
1ªDose;2021-04-15;17
1ªDose;2021-04-16;8
1ªDose;2021-04-19;11
1ªDose;2021-04-20;2
2ªDose;2021-02-09;2
2ªDose;2021-02-15;24
2ªDose;2021-02-16;2
2ªDose;2021-02-17;4
2ªDose;2021-02-19;2
2ªDose;2021-02-22;1
2ªDose;2021-03-03;9
2ªDose;2021-03-08;19
2ªDose;2021-03-09;5
2ªDose;2021-03-10;3
2ªDose;2021-03-11;2
2ªDose;2021-03-16;1
2ªDose;2021-03-22;2
2ªDose;2021-03-23;1
2ªDose;2021-03-25;15
2ªDose;2021-03-29;2
2ªDose;2021-03-30;2
2ªDose;2021-04-05;15
2ªDose;2021-04-06;8
2ªDose;2021-04-07;17
2ªDose;2021-04-08;6
2ªDose;2021-04-09;1
2ªDose;2021-04-12;36
2ªDose;2021-04-13;2
2ªDose;2021-04-15;5
2ªDose;2021-04-16;5
2ªDose;2021-04-19;112
2ªDose;2021-04-20;34
2ªDose;2021-04-21;1
2ªDose;2021-04-22;3
