Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;8
1ªDose;2021-02-08;1
1ªDose;2021-02-09;10
1ªDose;2021-02-10;7
1ªDose;2021-02-11;1
1ªDose;2021-02-12;1
1ªDose;2021-02-17;3
1ªDose;2021-02-18;6
1ªDose;2021-02-19;1
1ªDose;2021-02-22;2
1ªDose;2021-02-23;9
1ªDose;2021-02-24;1
1ªDose;2021-02-26;22
1ªDose;2021-03-01;21
1ªDose;2021-03-02;31
1ªDose;2021-03-05;20
1ªDose;2021-03-08;17
1ªDose;2021-03-09;4
1ªDose;2021-03-12;31
1ªDose;2021-03-15;11
1ªDose;2021-03-19;43
1ªDose;2021-03-22;9
1ªDose;2021-03-23;25
1ªDose;2021-03-24;38
1ªDose;2021-03-25;37
1ªDose;2021-03-26;40
1ªDose;2021-03-27;129
1ªDose;2021-03-29;119
1ªDose;2021-03-30;12
1ªDose;2021-04-06;1
1ªDose;2021-04-10;55
1ªDose;2021-04-12;9
1ªDose;2021-04-13;3
1ªDose;2021-04-14;1
1ªDose;2021-04-19;121
1ªDose;2021-04-20;28
1ªDose;2021-04-22;5
1ªDose;2021-04-23;6
1ªDose;2021-04-26;94
1ªDose;2021-04-27;7
1ªDose;2021-04-28;17
2ªDose;2021-02-11;1
2ªDose;2021-02-17;30
2ªDose;2021-02-18;4
2ªDose;2021-02-19;3
2ªDose;2021-02-24;1
2ªDose;2021-03-01;3
2ªDose;2021-03-02;1
2ªDose;2021-03-05;1
2ªDose;2021-03-08;10
2ªDose;2021-03-09;6
2ªDose;2021-03-10;1
2ªDose;2021-03-15;9
2ªDose;2021-03-19;2
2ªDose;2021-03-22;10
2ªDose;2021-03-23;2
2ªDose;2021-03-29;21
2ªDose;2021-03-30;20
2ªDose;2021-04-05;21
2ªDose;2021-04-06;31
2ªDose;2021-04-09;9
2ªDose;2021-04-12;1
2ªDose;2021-04-13;38
2ªDose;2021-04-14;8
2ªDose;2021-04-16;7
2ªDose;2021-04-19;32
2ªDose;2021-04-20;74
2ªDose;2021-04-22;59
2ªDose;2021-04-23;122
2ªDose;2021-04-26;98
2ªDose;2021-04-27;3
2ªDose;2021-04-28;3
