Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;17
1ªDose;2021-01-26;23
1ªDose;2021-01-27;125
1ªDose;2021-01-28;12
1ªDose;2021-01-29;136
1ªDose;2021-02-24;4
1ªDose;2021-03-01;90
1ªDose;2021-03-02;214
1ªDose;2021-03-03;31
1ªDose;2021-03-04;66
1ªDose;2021-03-09;9
1ªDose;2021-03-25;1
1ªDose;2021-03-27;52
1ªDose;2021-03-28;63
1ªDose;2021-03-29;39
1ªDose;2021-03-30;10
1ªDose;2021-03-31;10
1ªDose;2021-04-10;315
1ªDose;2021-04-11;68
1ªDose;2021-04-16;1
1ªDose;2021-04-17;612
1ªDose;2021-04-18;271
1ªDose;2021-04-19;48
1ªDose;2021-04-20;15
1ªDose;2021-04-22;2
1ªDose;2021-04-23;5
1ªDose;2021-04-26;95
1ªDose;2021-04-27;222
1ªDose;2021-04-28;66
1ªDose;2021-04-29;31
1ªDose;2021-04-30;25
2ªDose;2021-01-28;1
2ªDose;2021-01-29;1
2ªDose;2021-02-26;1
2ªDose;2021-03-04;2
2ªDose;2021-04-20;46
2ªDose;2021-04-22;9
2ªDose;2021-04-23;9
2ªDose;2021-04-26;8
2ªDose;2021-04-27;17
2ªDose;2021-04-29;1
