index;count
2021-05-04;598
2021-05-05;1249
2021-05-06;1933
2021-05-07;2107
2021-05-08;2158
2021-05-09;2158
2021-05-10;2169
2021-05-11;2181
2021-05-12;2190
2021-05-13;2230
2021-05-14;2252
2021-05-15;2254
2021-05-16;2254
2021-05-17;2257
2021-05-18;2274
2021-05-19;2274
2021-05-20;2291
2021-05-21;2291
2021-05-22;2291
2021-05-23;2291
2021-05-24;2292
2021-05-25;2293
2021-05-26;2294
2021-05-27;2300
2021-05-28;2300
2021-05-29;2300
2021-05-30;2300
2021-05-31;2300
2021-06-01;2300
2021-06-02;2300
2021-06-03;2300
2021-06-04;2300
2021-06-05;2300
2021-06-06;2300
2021-06-07;2300
2021-06-08;2310
2021-06-09;2317
2021-06-10;2332
2021-06-11;2348
2021-06-12;2348
2021-06-13;2348
2021-06-14;2348
2021-06-15;2364
2021-06-16;2390
2021-06-17;2390
2021-06-18;2390
2021-06-19;2390
2021-06-20;2390
2021-06-21;2390
2021-06-22;2390
2021-06-23;2401
2021-06-24;2440
2021-06-25;2440
2021-06-26;2440
2021-06-27;2440
2021-06-28;2440
2021-06-29;2440
2021-06-30;2440
2021-07-01;2442
2021-07-02;2442
2021-07-03;2442
2021-07-04;2442
2021-07-05;2588
2021-07-06;2653
2021-07-07;2956
2021-07-08;3077
2021-07-09;3134
2021-07-10;3134
2021-07-11;3134
2021-07-12;3205
2021-07-13;3286
2021-07-14;3286
2021-07-15;3288
2021-07-16;3288
2021-07-17;3288
2021-07-18;3288
2021-07-19;3318
2021-07-20;3318
2021-07-21;3490
