index;count
2021-05-04;2
2021-05-05;2
2021-05-06;2
2021-05-07;2
2021-05-08;2
2021-05-09;2
2021-05-10;2
2021-05-11;2
2021-05-12;2
2021-05-13;2
2021-05-14;2
2021-05-15;2
2021-05-16;2
2021-05-17;2
2021-05-18;44
2021-05-19;57
2021-05-20;65
2021-05-21;197
2021-05-22;197
2021-05-23;197
2021-05-24;361
2021-05-25;361
2021-05-26;373
2021-05-27;530
2021-05-28;606
2021-05-29;679
2021-05-30;679
2021-05-31;798
2021-06-01;800
2021-06-02;800
2021-06-03;958
2021-06-04;967
2021-06-05;967
2021-06-06;967
2021-06-07;977
2021-06-08;988
2021-06-09;993
2021-06-10;1010
2021-06-11;1018
2021-06-12;1018
2021-06-13;1018
2021-06-14;1018
2021-06-15;1018
2021-06-16;1069
2021-06-17;1069
2021-06-18;1069
2021-06-19;1069
2021-06-20;1069
2021-06-21;1069
2021-06-22;1069
2021-06-23;1069
2021-06-24;1069
2021-06-25;1069
2021-06-26;1069
2021-06-27;1069
2021-06-28;1069
2021-06-29;1069
2021-06-30;1069
2021-07-01;1069
2021-07-02;1069
2021-07-03;1069
2021-07-04;1069
2021-07-05;1069
2021-07-06;1069
2021-07-07;1069
2021-07-08;1083
2021-07-09;1097
2021-07-10;1097
2021-07-11;1097
2021-07-12;1104
2021-07-13;1124
2021-07-14;1491
2021-07-15;1500
2021-07-16;1500
2021-07-17;1500
2021-07-18;1500
2021-07-19;1500
2021-07-20;1513
2021-07-21;1514
