Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;1
1ªDose;2021-01-29;20
1ªDose;2021-01-30;1
1ªDose;2021-02-01;34
1ªDose;2021-02-02;43
1ªDose;2021-02-03;69
1ªDose;2021-02-04;116
1ªDose;2021-02-05;65
1ªDose;2021-02-08;24
1ªDose;2021-02-09;22
1ªDose;2021-02-10;17
1ªDose;2021-02-12;1
1ªDose;2021-02-17;1
1ªDose;2021-02-18;15
1ªDose;2021-02-26;1
1ªDose;2021-03-01;2
1ªDose;2021-03-02;17
1ªDose;2021-03-03;3
1ªDose;2021-03-04;6
1ªDose;2021-03-08;9
1ªDose;2021-03-09;38
1ªDose;2021-03-10;33
1ªDose;2021-03-11;15
1ªDose;2021-03-12;19
1ªDose;2021-03-15;9
1ªDose;2021-03-16;6
1ªDose;2021-03-17;10
1ªDose;2021-03-26;62
1ªDose;2021-03-29;29
1ªDose;2021-03-30;173
1ªDose;2021-03-31;50
1ªDose;2021-04-01;248
1ªDose;2021-04-05;87
1ªDose;2021-04-06;179
1ªDose;2021-04-07;81
1ªDose;2021-04-12;27
1ªDose;2021-04-13;119
1ªDose;2021-04-14;19
1ªDose;2021-04-15;9
1ªDose;2021-04-16;4
1ªDose;2021-04-17;358
1ªDose;2021-04-19;39
1ªDose;2021-04-20;49
1ªDose;2021-04-22;70
1ªDose;2021-04-26;25
1ªDose;2021-04-27;226
1ªDose;2021-04-28;56
1ªDose;2021-04-29;29
1ªDose;2021-04-30;20
2ªDose;2021-04-29;1
2ªDose;2021-04-30;1
