Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1165
1ªDose;2021-01-20;3308
1ªDose;2021-01-21;2837
1ªDose;2021-01-22;2216
1ªDose;2021-01-23;2419
1ªDose;2021-01-24;2641
1ªDose;2021-01-25;2631
1ªDose;2021-01-26;1873
1ªDose;2021-01-27;1371
1ªDose;2021-01-28;2469
1ªDose;2021-01-29;7365
1ªDose;2021-01-30;8535
1ªDose;2021-01-31;5987
1ªDose;2021-02-01;3412
1ªDose;2021-02-02;2366
1ªDose;2021-02-03;2352
1ªDose;2021-02-04;4208
1ªDose;2021-02-05;6707
1ªDose;2021-02-06;7514
1ªDose;2021-02-07;1077
1ªDose;2021-02-08;8768
1ªDose;2021-02-09;6490
1ªDose;2021-02-10;1121
1ªDose;2021-02-11;1376
1ªDose;2021-02-12;1393
1ªDose;2021-02-15;2100
1ªDose;2021-02-16;2080
1ªDose;2021-02-17;415
1ªDose;2021-02-18;55
1ªDose;2021-02-19;135
1ªDose;2021-02-20;173
1ªDose;2021-02-22;200
1ªDose;2021-02-23;50
1ªDose;2021-02-24;42
1ªDose;2021-02-25;3447
1ªDose;2021-02-26;6226
1ªDose;2021-02-27;6558
1ªDose;2021-02-28;5817
1ªDose;2021-03-01;1884
1ªDose;2021-03-02;1118
1ªDose;2021-03-03;227
1ªDose;2021-03-04;5194
1ªDose;2021-03-05;2084
1ªDose;2021-03-06;5207
1ªDose;2021-03-07;174
1ªDose;2021-03-08;1550
1ªDose;2021-03-09;1175
1ªDose;2021-03-10;3120
1ªDose;2021-03-11;3456
1ªDose;2021-03-12;4304
1ªDose;2021-03-13;3648
1ªDose;2021-03-15;4960
1ªDose;2021-03-16;4390
1ªDose;2021-03-17;5206
1ªDose;2021-03-18;4426
1ªDose;2021-03-19;5557
1ªDose;2021-03-20;9113
1ªDose;2021-03-21;4220
1ªDose;2021-03-22;3013
1ªDose;2021-03-23;10296
1ªDose;2021-03-24;10755
1ªDose;2021-03-25;13324
1ªDose;2021-03-26;13538
1ªDose;2021-03-27;14308
1ªDose;2021-03-28;14325
1ªDose;2021-03-29;7338
1ªDose;2021-03-30;9252
1ªDose;2021-03-31;15371
1ªDose;2021-04-01;8647
1ªDose;2021-04-03;11438
1ªDose;2021-04-04;6676
1ªDose;2021-04-05;13306
1ªDose;2021-04-06;5147
1ªDose;2021-04-07;7044
1ªDose;2021-04-08;3011
1ªDose;2021-04-09;3299
1ªDose;2021-04-10;9987
1ªDose;2021-04-11;4395
1ªDose;2021-04-12;322
1ªDose;2021-04-13;395
1ªDose;2021-04-14;169
1ªDose;2021-04-15;145
1ªDose;2021-04-16;196
1ªDose;2021-04-17;10576
1ªDose;2021-04-18;6140
1ªDose;2021-04-19;8383
1ªDose;2021-04-20;5476
1ªDose;2021-04-21;1728
1ªDose;2021-04-22;3032
1ªDose;2021-04-23;3938
1ªDose;2021-04-24;4962
1ªDose;2021-04-25;1678
1ªDose;2021-04-26;4354
1ªDose;2021-04-27;7143
1ªDose;2021-04-28;6921
1ªDose;2021-04-29;3706
1ªDose;2021-04-30;4402
1ªDose;2021-05-01;2281
2ªDose;2021-02-16;717
2ªDose;2021-02-17;2412
2ªDose;2021-02-18;2310
2ªDose;2021-02-19;2315
2ªDose;2021-02-20;1824
2ªDose;2021-02-22;5026
2ªDose;2021-02-23;1990
2ªDose;2021-02-24;1533
2ªDose;2021-02-25;2301
2ªDose;2021-02-26;5070
2ªDose;2021-02-27;5590
2ªDose;2021-02-28;1386
2ªDose;2021-03-01;579
2ªDose;2021-03-02;1428
2ªDose;2021-03-03;1015
2ªDose;2021-03-04;1101
2ªDose;2021-03-05;1104
2ªDose;2021-03-06;3070
2ªDose;2021-03-07;1629
2ªDose;2021-03-08;6553
2ªDose;2021-03-09;5996
2ªDose;2021-03-10;1444
2ªDose;2021-03-11;1304
2ªDose;2021-03-12;982
2ªDose;2021-03-13;215
2ªDose;2021-03-15;455
2ªDose;2021-03-16;863
2ªDose;2021-03-17;346
2ªDose;2021-03-18;182
2ªDose;2021-03-19;101
2ªDose;2021-03-20;55
2ªDose;2021-03-21;32
2ªDose;2021-03-22;110
2ªDose;2021-03-23;81
2ªDose;2021-03-24;93
2ªDose;2021-03-25;81
2ªDose;2021-03-26;186
2ªDose;2021-03-27;160
2ªDose;2021-03-28;135
2ªDose;2021-03-29;197
2ªDose;2021-03-30;155
2ªDose;2021-03-31;173
2ªDose;2021-04-01;4109
2ªDose;2021-04-03;4471
2ªDose;2021-04-04;818
2ªDose;2021-04-05;1436
2ªDose;2021-04-06;1130
2ªDose;2021-04-07;2739
2ªDose;2021-04-08;3172
2ªDose;2021-04-09;3969
2ªDose;2021-04-10;3331
2ªDose;2021-04-11;272
2ªDose;2021-04-12;4604
2ªDose;2021-04-13;4236
2ªDose;2021-04-14;5069
2ªDose;2021-04-15;4008
2ªDose;2021-04-16;5377
2ªDose;2021-04-17;6522
2ªDose;2021-04-18;3447
2ªDose;2021-04-19;4179
2ªDose;2021-04-20;8470
2ªDose;2021-04-21;2788
2ªDose;2021-04-22;11853
2ªDose;2021-04-23;4906
2ªDose;2021-04-24;10503
2ªDose;2021-04-25;6003
2ªDose;2021-04-26;4770
2ªDose;2021-04-27;6668
2ªDose;2021-04-28;3194
2ªDose;2021-04-29;1431
2ªDose;2021-04-30;3618
2ªDose;2021-05-01;2579
