index;count
2021-05-04;20
2021-05-05;50
2021-05-06;60
2021-05-07;71
2021-05-08;71
2021-05-09;71
2021-05-10;83
2021-05-11;96
2021-05-12;121
2021-05-13;121
2021-05-14;121
2021-05-15;121
2021-05-16;121
2021-05-17;152
2021-05-18;165
2021-05-19;166
2021-05-20;166
2021-05-21;167
2021-05-22;167
2021-05-23;167
2021-05-24;191
2021-05-25;230
2021-05-26;277
2021-05-27;315
2021-05-28;346
2021-05-29;346
2021-05-30;346
2021-05-31;346
2021-06-01;346
2021-06-02;347
2021-06-03;347
2021-06-04;347
2021-06-05;347
2021-06-06;347
2021-06-07;355
2021-06-08;355
2021-06-09;355
2021-06-10;355
2021-06-11;355
2021-06-12;355
2021-06-13;355
2021-06-14;355
2021-06-15;355
2021-06-16;355
2021-06-17;355
2021-06-18;361
2021-06-19;361
2021-06-20;361
2021-06-21;361
2021-06-22;361
2021-06-23;369
2021-06-24;369
2021-06-25;369
2021-06-26;369
2021-06-27;369
2021-06-28;379
2021-06-29;410
2021-06-30;428
2021-07-01;446
2021-07-02;456
2021-07-03;456
2021-07-04;456
2021-07-05;465
2021-07-06;479
2021-07-07;489
2021-07-08;525
2021-07-09;539
2021-07-10;539
2021-07-11;539
2021-07-12;634
2021-07-13;747
2021-07-14;748
2021-07-15;769
2021-07-16;812
2021-07-17;812
2021-07-18;812
2021-07-19;840
2021-07-20;897
2021-07-21;929
2021-07-22;972
2021-07-23;987
