index;count
2021-05-25;8
2021-05-26;69
2021-05-27;99
2021-05-28;102
2021-05-29;102
2021-05-30;102
2021-05-31;112
2021-06-01;112
2021-06-02;112
2021-06-03;112
2021-06-04;115
2021-06-05;115
2021-06-06;115
2021-06-07;116
2021-06-08;116
2021-06-09;116
2021-06-10;116
2021-06-11;116
2021-06-12;116
2021-06-13;116
2021-06-14;116
2021-06-15;116
2021-06-16;116
2021-06-17;116
2021-06-18;116
2021-06-19;116
2021-06-20;116
2021-06-21;347
2021-06-22;482
2021-06-23;524
2021-06-24;526
2021-06-25;534
2021-06-26;534
2021-06-27;534
2021-06-28;534
2021-06-29;534
2021-06-30;534
2021-07-01;534
2021-07-02;534
2021-07-03;534
2021-07-04;534
2021-07-05;534
2021-07-06;534
2021-07-07;534
2021-07-08;552
2021-07-09;552
2021-07-10;552
2021-07-11;552
2021-07-12;552
2021-07-13;557
2021-07-14;557
2021-07-15;761
2021-07-16;768
2021-07-17;768
2021-07-18;769
2021-07-19;769
2021-07-20;868
2021-07-21;910
2021-07-22;934
