Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;56
1ªDose;2021-01-28;44
1ªDose;2021-02-01;79
1ªDose;2021-02-02;119
1ªDose;2021-02-03;145
1ªDose;2021-02-15;23
1ªDose;2021-02-16;15
1ªDose;2021-02-19;41
1ªDose;2021-03-01;76
1ªDose;2021-03-02;143
1ªDose;2021-03-03;122
1ªDose;2021-03-04;69
1ªDose;2021-03-05;75
1ªDose;2021-03-06;22
1ªDose;2021-03-07;1
1ªDose;2021-03-08;41
1ªDose;2021-03-09;131
1ªDose;2021-03-10;25
1ªDose;2021-03-11;5
1ªDose;2021-03-13;1
1ªDose;2021-03-24;1
1ªDose;2021-03-26;22
1ªDose;2021-04-01;51
1ªDose;2021-04-02;1
1ªDose;2021-04-07;64
1ªDose;2021-04-08;71
1ªDose;2021-04-09;1
1ªDose;2021-04-10;388
1ªDose;2021-04-12;1
1ªDose;2021-04-13;1
1ªDose;2021-04-14;1
1ªDose;2021-04-20;430
1ªDose;2021-04-21;189
1ªDose;2021-04-22;69
1ªDose;2021-04-23;31
1ªDose;2021-04-25;112
1ªDose;2021-04-26;698
1ªDose;2021-04-27;18
1ªDose;2021-04-28;14
1ªDose;2021-04-29;17
1ªDose;2021-04-30;13
2ªDose;2021-04-20;38
2ªDose;2021-04-22;190
2ªDose;2021-04-23;64
2ªDose;2021-04-25;2
2ªDose;2021-04-26;1
2ªDose;2021-04-27;226
2ªDose;2021-04-28;77
