Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;2
1ªDose;2021-01-21;9
1ªDose;2021-01-22;31
1ªDose;2021-01-25;15
1ªDose;2021-01-26;16
1ªDose;2021-01-27;21
1ªDose;2021-01-28;34
1ªDose;2021-01-29;11
1ªDose;2021-02-01;20
1ªDose;2021-02-02;15
1ªDose;2021-02-03;10
1ªDose;2021-02-10;8
1ªDose;2021-02-11;9
1ªDose;2021-02-12;15
1ªDose;2021-02-15;5
1ªDose;2021-02-16;16
1ªDose;2021-02-17;5
1ªDose;2021-02-18;11
1ªDose;2021-02-19;1
1ªDose;2021-02-26;9
1ªDose;2021-03-01;30
1ªDose;2021-03-03;14
1ªDose;2021-03-05;9
1ªDose;2021-03-08;39
1ªDose;2021-03-09;30
1ªDose;2021-03-10;33
1ªDose;2021-03-11;13
1ªDose;2021-03-12;23
1ªDose;2021-03-15;36
1ªDose;2021-03-16;72
1ªDose;2021-03-17;26
1ªDose;2021-03-19;36
1ªDose;2021-03-23;42
1ªDose;2021-03-24;41
1ªDose;2021-03-25;26
1ªDose;2021-03-26;73
1ªDose;2021-03-29;36
1ªDose;2021-03-30;150
1ªDose;2021-03-31;244
1ªDose;2021-04-01;235
1ªDose;2021-04-05;1
1ªDose;2021-04-06;113
1ªDose;2021-04-07;114
1ªDose;2021-04-08;50
1ªDose;2021-04-09;63
1ªDose;2021-04-12;6
1ªDose;2021-04-13;15
1ªDose;2021-04-14;1
1ªDose;2021-04-16;3
1ªDose;2021-04-20;2
1ªDose;2021-04-22;5
1ªDose;2021-04-23;3
1ªDose;2021-04-28;1
1ªDose;2021-04-29;103
2ªDose;2021-02-17;7
2ªDose;2021-02-18;17
2ªDose;2021-02-19;19
2ªDose;2021-02-20;1
2ªDose;2021-02-22;11
2ªDose;2021-02-23;14
2ªDose;2021-02-24;21
2ªDose;2021-02-25;13
2ªDose;2021-02-26;5
2ªDose;2021-03-01;3
2ªDose;2021-03-03;2
2ªDose;2021-03-04;1
2ªDose;2021-03-08;2
2ªDose;2021-03-09;1
2ªDose;2021-03-10;11
2ªDose;2021-03-11;2
2ªDose;2021-03-12;13
2ªDose;2021-03-15;1
2ªDose;2021-03-16;11
2ªDose;2021-03-17;2
2ªDose;2021-03-18;9
2ªDose;2021-03-19;8
2ªDose;2021-03-22;1
2ªDose;2021-03-23;2
2ªDose;2021-03-24;2
2ªDose;2021-03-25;1
2ªDose;2021-03-26;2
2ªDose;2021-03-31;2
2ªDose;2021-04-01;1
2ªDose;2021-04-07;12
2ªDose;2021-04-08;22
2ªDose;2021-04-09;12
2ªDose;2021-04-12;39
2ªDose;2021-04-13;11
2ªDose;2021-04-14;111
2ªDose;2021-04-15;7
2ªDose;2021-04-16;27
2ªDose;2021-04-20;48
2ªDose;2021-04-22;40
2ªDose;2021-04-23;67
2ªDose;2021-04-27;30
2ªDose;2021-04-28;50
2ªDose;2021-04-29;1
