Dose Aplicada;Data;Quantidade
1ªDose;2021-02-08;5
1ªDose;2021-02-09;1
1ªDose;2021-02-11;14
1ªDose;2021-02-12;20
1ªDose;2021-02-16;6
1ªDose;2021-02-17;20
1ªDose;2021-02-18;1
1ªDose;2021-02-19;10
1ªDose;2021-03-03;10
1ªDose;2021-03-04;10
1ªDose;2021-03-05;17
1ªDose;2021-03-08;8
1ªDose;2021-03-09;16
1ªDose;2021-03-10;21
1ªDose;2021-03-11;20
1ªDose;2021-03-12;16
1ªDose;2021-03-13;2
1ªDose;2021-03-16;3
1ªDose;2021-03-17;24
1ªDose;2021-03-18;29
1ªDose;2021-03-19;28
1ªDose;2021-03-23;10
1ªDose;2021-03-24;53
1ªDose;2021-03-25;27
1ªDose;2021-03-26;5
1ªDose;2021-03-28;20
1ªDose;2021-03-29;20
1ªDose;2021-03-30;90
1ªDose;2021-03-31;83
1ªDose;2021-04-01;1
1ªDose;2021-04-05;9
1ªDose;2021-04-06;66
1ªDose;2021-04-07;10
1ªDose;2021-04-08;42
1ªDose;2021-04-16;1
2ªDose;2021-02-12;1
2ªDose;2021-02-16;4
2ªDose;2021-02-17;2
2ªDose;2021-02-18;35
2ªDose;2021-02-19;29
2ªDose;2021-02-22;11
2ªDose;2021-02-23;1
2ªDose;2021-02-24;19
2ªDose;2021-02-25;31
2ªDose;2021-03-01;10
2ªDose;2021-03-02;1
2ªDose;2021-03-03;4
2ªDose;2021-03-04;1
2ªDose;2021-03-05;4
2ªDose;2021-03-08;26
2ªDose;2021-03-09;3
2ªDose;2021-03-11;27
2ªDose;2021-03-16;18
2ªDose;2021-03-17;20
2ªDose;2021-03-18;1
2ªDose;2021-03-19;10
2ªDose;2021-03-26;13
2ªDose;2021-03-30;15
2ªDose;2021-03-31;4
2ªDose;2021-04-01;9
2ªDose;2021-04-06;10
2ªDose;2021-04-08;35
2ªDose;2021-04-13;15
2ªDose;2021-04-15;20
2ªDose;2021-04-16;34
2ªDose;2021-04-19;1
2ªDose;2021-04-20;10
2ªDose;2021-04-21;20
2ªDose;2021-04-22;15
2ªDose;2021-04-24;4
2ªDose;2021-04-26;65
2ªDose;2021-04-28;9
