Dose Aplicada;Data;Quantidade
1ªDose;2020-01-21;1
1ªDose;2021-01-20;21
1ªDose;2021-01-21;188
1ªDose;2021-01-22;62
1ªDose;2021-01-23;1
1ªDose;2021-01-24;2
1ªDose;2021-01-25;35
1ªDose;2021-01-26;41
1ªDose;2021-01-27;69
1ªDose;2021-01-28;42
1ªDose;2021-01-29;20
1ªDose;2021-02-02;16
1ªDose;2021-02-03;11
1ªDose;2021-02-04;4
1ªDose;2021-02-05;3
1ªDose;2021-02-08;9
1ªDose;2021-02-09;36
1ªDose;2021-02-10;62
1ªDose;2021-02-11;77
1ªDose;2021-02-12;81
1ªDose;2021-02-17;8
1ªDose;2021-02-18;50
1ªDose;2021-02-19;35
1ªDose;2021-02-22;14
1ªDose;2021-02-23;17
1ªDose;2021-02-24;44
1ªDose;2021-02-25;13
1ªDose;2021-02-26;1
1ªDose;2021-03-01;3
1ªDose;2021-03-02;6
1ªDose;2021-03-03;12
1ªDose;2021-03-04;1
1ªDose;2021-03-05;8
1ªDose;2021-03-08;15
1ªDose;2021-03-09;27
1ªDose;2021-03-10;30
1ªDose;2021-03-11;53
1ªDose;2021-03-12;60
1ªDose;2021-03-15;48
1ªDose;2021-03-16;78
1ªDose;2021-03-17;144
1ªDose;2021-03-18;61
1ªDose;2021-03-19;131
1ªDose;2021-03-20;1
1ªDose;2021-03-22;150
1ªDose;2021-03-23;208
1ªDose;2021-03-24;275
1ªDose;2021-03-25;374
1ªDose;2021-03-26;655
1ªDose;2021-03-28;6
1ªDose;2021-03-29;389
1ªDose;2021-03-30;447
1ªDose;2021-03-31;202
1ªDose;2021-04-05;168
1ªDose;2021-04-06;88
1ªDose;2021-04-07;71
1ªDose;2021-04-08;38
1ªDose;2021-04-09;23
1ªDose;2021-04-10;1
1ªDose;2021-04-11;2
1ªDose;2021-04-12;16
1ªDose;2021-04-13;102
1ªDose;2021-04-14;21
1ªDose;2021-04-15;7
1ªDose;2021-04-16;15
1ªDose;2021-04-19;27
1ªDose;2021-04-20;6
1ªDose;2021-04-22;2
1ªDose;2021-04-23;1
1ªDose;2021-04-26;1
1ªDose;2021-04-27;99
1ªDose;2021-04-28;77
1ªDose;2021-04-29;2
2ªDose;2021-02-12;1
2ªDose;2021-02-17;89
2ªDose;2021-02-18;135
2ªDose;2021-02-19;99
2ªDose;2021-02-22;51
2ªDose;2021-02-23;16
2ªDose;2021-02-24;20
2ªDose;2021-02-25;19
2ªDose;2021-02-26;1
2ªDose;2021-02-28;7
2ªDose;2021-03-01;5
2ªDose;2021-03-02;17
2ªDose;2021-03-03;7
2ªDose;2021-03-05;16
2ªDose;2021-03-08;29
2ªDose;2021-03-09;66
2ªDose;2021-03-10;59
2ªDose;2021-03-11;97
2ªDose;2021-03-12;25
2ªDose;2021-03-13;1
2ªDose;2021-03-14;1
2ªDose;2021-03-15;36
2ªDose;2021-03-16;11
2ªDose;2021-03-17;5
2ªDose;2021-03-18;35
2ªDose;2021-03-19;25
2ªDose;2021-03-20;1
2ªDose;2021-03-22;7
2ªDose;2021-03-23;9
2ªDose;2021-03-24;18
2ªDose;2021-03-25;2
2ªDose;2021-03-26;5
2ªDose;2021-03-29;4
2ªDose;2021-03-30;18
2ªDose;2021-03-31;10
2ªDose;2021-04-05;11
2ªDose;2021-04-06;22
2ªDose;2021-04-07;61
2ªDose;2021-04-08;37
2ªDose;2021-04-09;27
2ªDose;2021-04-11;1
2ªDose;2021-04-12;74
2ªDose;2021-04-13;148
2ªDose;2021-04-14;191
2ªDose;2021-04-15;164
2ªDose;2021-04-16;160
2ªDose;2021-04-18;1
2ªDose;2021-04-19;158
2ªDose;2021-04-20;273
2ªDose;2021-04-21;49
2ªDose;2021-04-22;393
2ªDose;2021-04-23;360
2ªDose;2021-04-26;321
2ªDose;2021-04-27;283
2ªDose;2021-04-28;126
2ªDose;2021-04-29;35
2ªDose;2021-04-30;40
