Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;1
1ªDose;2021-01-23;1
1ªDose;2021-01-25;34
1ªDose;2021-01-26;78
1ªDose;2021-01-27;43
1ªDose;2021-01-28;81
1ªDose;2021-01-29;48
1ªDose;2021-01-30;2
1ªDose;2021-01-31;3
1ªDose;2021-02-01;39
1ªDose;2021-02-02;16
1ªDose;2021-02-03;67
1ªDose;2021-02-04;50
1ªDose;2021-02-05;35
1ªDose;2021-02-06;36
1ªDose;2021-02-07;11
1ªDose;2021-02-08;45
1ªDose;2021-02-09;32
1ªDose;2021-02-10;30
1ªDose;2021-02-11;35
1ªDose;2021-02-12;10
1ªDose;2021-02-13;40
1ªDose;2021-02-14;24
1ªDose;2021-02-15;20
1ªDose;2021-02-16;20
1ªDose;2021-02-17;85
1ªDose;2021-02-18;44
1ªDose;2021-02-19;30
1ªDose;2021-02-20;8
1ªDose;2021-02-21;6
1ªDose;2021-02-22;21
1ªDose;2021-02-23;6
1ªDose;2021-02-24;11
1ªDose;2021-02-25;5
1ªDose;2021-02-26;35
1ªDose;2021-02-27;6
1ªDose;2021-02-28;1
1ªDose;2021-03-01;37
1ªDose;2021-03-02;8
1ªDose;2021-03-03;9
1ªDose;2021-03-04;5
1ªDose;2021-03-05;15
1ªDose;2021-03-06;3
1ªDose;2021-03-07;2
1ªDose;2021-03-08;20
1ªDose;2021-03-09;11
1ªDose;2021-03-10;25
1ªDose;2021-03-11;3
1ªDose;2021-03-12;12
1ªDose;2021-03-13;7
1ªDose;2021-03-14;2
1ªDose;2021-03-15;5
1ªDose;2021-03-16;7
1ªDose;2021-03-18;20
1ªDose;2021-03-19;11
1ªDose;2021-03-20;45
1ªDose;2021-03-21;3
1ªDose;2021-03-22;22
1ªDose;2021-03-23;9
1ªDose;2021-03-24;2
1ªDose;2021-03-25;12
1ªDose;2021-03-26;15
1ªDose;2021-03-29;2
1ªDose;2021-03-30;18
1ªDose;2021-03-31;21
1ªDose;2021-04-01;16
1ªDose;2021-04-02;1
1ªDose;2021-04-05;2
1ªDose;2021-04-06;13
1ªDose;2021-04-07;14
1ªDose;2021-04-08;9
1ªDose;2021-04-09;1
1ªDose;2021-04-12;6
1ªDose;2021-04-16;6
1ªDose;2021-04-26;1
1ªDose;2021-04-27;2
1ªDose;2021-04-28;1
2ªDose;2021-01-25;1
2ªDose;2021-02-01;1
2ªDose;2021-02-09;6
2ªDose;2021-02-10;13
2ªDose;2021-02-11;15
2ªDose;2021-02-12;1
2ªDose;2021-02-14;1
2ªDose;2021-02-15;6
2ªDose;2021-02-17;24
2ªDose;2021-02-18;22
2ªDose;2021-02-19;9
2ªDose;2021-02-22;6
2ªDose;2021-02-23;38
2ªDose;2021-02-24;74
2ªDose;2021-02-25;52
2ªDose;2021-02-26;53
2ªDose;2021-02-27;26
2ªDose;2021-02-28;25
2ªDose;2021-03-01;33
2ªDose;2021-03-02;44
2ªDose;2021-03-03;23
2ªDose;2021-03-04;4
2ªDose;2021-03-05;13
2ªDose;2021-03-06;3
2ªDose;2021-03-07;2
2ªDose;2021-03-08;17
2ªDose;2021-03-09;22
2ªDose;2021-03-10;16
2ªDose;2021-03-11;35
2ªDose;2021-03-12;49
2ªDose;2021-03-13;13
2ªDose;2021-03-14;12
2ªDose;2021-03-15;18
2ªDose;2021-03-16;11
2ªDose;2021-03-17;9
2ªDose;2021-03-18;18
2ªDose;2021-03-19;3
2ªDose;2021-03-20;17
2ªDose;2021-03-22;6
2ªDose;2021-03-23;4
2ªDose;2021-03-25;11
2ªDose;2021-03-26;9
2ªDose;2021-03-27;1
2ªDose;2021-03-29;10
2ªDose;2021-03-30;15
2ªDose;2021-03-31;4
2ªDose;2021-04-01;11
2ªDose;2021-04-02;2
2ªDose;2021-04-05;7
2ªDose;2021-04-06;6
2ªDose;2021-04-07;7
2ªDose;2021-04-08;11
2ªDose;2021-04-09;1
2ªDose;2021-04-12;2
2ªDose;2021-04-16;1
2ªDose;2021-04-26;15
2ªDose;2021-04-27;4
2ªDose;2021-04-28;7
