index;count
2021-05-24;10
2021-05-25;40
2021-05-26;79
2021-05-27;115
2021-05-28;147
2021-05-29;147
2021-05-30;147
2021-05-31;147
2021-06-01;147
2021-06-02;147
2021-06-03;147
2021-06-04;147
2021-06-05;147
2021-06-06;147
2021-06-07;147
2021-06-08;147
2021-06-09;147
2021-06-10;147
2021-06-11;147
2021-06-12;147
2021-06-13;147
2021-06-14;147
2021-06-15;147
2021-06-16;147
2021-06-17;147
2021-06-18;147
2021-06-19;147
2021-06-20;147
2021-06-21;147
2021-06-22;147
2021-06-23;218
2021-06-24;224
2021-06-25;224
2021-06-26;224
2021-06-27;224
2021-06-28;224
2021-06-29;229
2021-06-30;229
2021-07-01;229
2021-07-02;234
2021-07-03;234
2021-07-04;234
2021-07-05;234
2021-07-06;414
2021-07-07;414
2021-07-08;414
2021-07-09;434
2021-07-10;434
2021-07-11;434
2021-07-12;542
2021-07-13;542
2021-07-14;542
2021-07-15;542
2021-07-16;542
2021-07-17;660
2021-07-18;660
2021-07-19;660
2021-07-20;660
2021-07-21;671
2021-07-22;696
2021-07-23;712
