index;count
2021-05-04;16
2021-05-05;25
2021-05-06;25
2021-05-07;25
2021-05-08;25
2021-05-09;25
2021-05-10;25
2021-05-11;25
2021-05-12;25
2021-05-13;25
2021-05-14;25
2021-05-15;25
2021-05-16;25
2021-05-17;25
2021-05-18;25
2021-05-19;25
2021-05-20;25
2021-05-21;25
2021-05-22;25
2021-05-23;25
2021-05-24;25
2021-05-25;131
2021-05-26;246
2021-05-27;281
2021-05-28;290
2021-05-29;290
2021-05-30;290
2021-05-31;290
2021-06-01;290
2021-06-02;290
2021-06-03;290
2021-06-04;290
2021-06-05;290
2021-06-06;290
2021-06-07;290
2021-06-08;290
2021-06-09;318
2021-06-10;359
2021-06-11;380
2021-06-12;380
2021-06-13;380
2021-06-14;391
2021-06-15;391
2021-06-16;391
2021-06-17;391
2021-06-18;391
2021-06-19;391
2021-06-20;391
2021-06-21;391
2021-06-22;391
2021-06-23;391
2021-06-24;391
2021-06-25;391
2021-06-26;391
2021-06-27;391
2021-06-28;391
2021-06-29;724
2021-06-30;736
2021-07-01;765
2021-07-02;960
2021-07-03;960
2021-07-04;960
2021-07-05;1110
2021-07-06;1153
2021-07-07;1193
2021-07-08;1226
2021-07-09;1266
2021-07-10;1266
2021-07-11;1266
2021-07-12;1662
2021-07-13;1865
2021-07-14;1867
2021-07-15;1915
2021-07-16;1945
2021-07-17;1954
2021-07-18;1954
2021-07-19;2191
2021-07-20;2274
2021-07-21;2307
2021-07-22;2315
2021-07-23;2319
