index;count
2021-05-04;9
2021-05-05;24
2021-05-06;24
2021-05-07;24
2021-05-08;24
2021-05-09;24
2021-05-10;24
2021-05-11;24
2021-05-12;24
2021-05-13;24
2021-05-14;24
2021-05-15;24
2021-05-16;24
2021-05-17;24
2021-05-18;24
2021-05-19;24
2021-05-20;24
2021-05-21;24
2021-05-22;24
2021-05-23;24
2021-05-24;24
2021-05-25;44
2021-05-26;53
2021-05-27;53
2021-05-28;53
2021-05-29;53
2021-05-30;53
2021-05-31;53
2021-06-01;53
2021-06-02;53
2021-06-03;53
2021-06-04;53
2021-06-05;53
2021-06-06;53
2021-06-07;53
2021-06-08;53
2021-06-09;53
2021-06-10;53
2021-06-11;53
2021-06-12;53
2021-06-13;53
2021-06-14;53
2021-06-15;53
2021-06-16;53
2021-06-17;53
2021-06-18;53
2021-06-19;53
2021-06-20;53
2021-06-21;59
2021-06-22;68
2021-06-23;68
2021-06-24;68
2021-06-25;68
2021-06-26;68
2021-06-27;68
2021-06-28;73
2021-06-29;73
2021-06-30;73
2021-07-01;73
2021-07-02;73
2021-07-03;73
2021-07-04;73
2021-07-05;84
2021-07-06;102
2021-07-07;107
2021-07-08;107
2021-07-09;107
2021-07-10;107
2021-07-11;107
2021-07-12;107
2021-07-13;137
2021-07-14;137
2021-07-15;148
2021-07-16;148
2021-07-17;148
2021-07-18;148
2021-07-19;148
2021-07-20;148
2021-07-21;161
