index;count
2021-05-04;168
2021-05-05;299
2021-05-06;359
2021-05-07;436
2021-05-08;436
2021-05-09;436
2021-05-10;617
2021-05-11;746
2021-05-12;782
2021-05-13;796
2021-05-14;825
2021-05-15;830
2021-05-16;830
2021-05-17;845
2021-05-18;849
2021-05-19;849
2021-05-20;853
2021-05-21;854
2021-05-22;854
2021-05-23;854
2021-05-24;867
2021-05-25;1015
2021-05-26;1015
2021-05-27;1017
2021-05-28;1017
2021-05-29;1144
2021-05-30;1144
2021-05-31;1144
2021-06-01;1155
2021-06-02;1155
2021-06-03;1155
2021-06-04;1155
2021-06-05;1155
2021-06-06;1155
2021-06-07;1155
2021-06-08;1164
2021-06-09;1185
2021-06-10;1185
2021-06-11;1204
2021-06-12;1204
2021-06-13;1204
2021-06-14;1204
2021-06-15;1204
2021-06-16;1204
2021-06-17;1204
2021-06-18;1204
2021-06-19;1204
2021-06-20;1204
2021-06-21;1215
2021-06-22;1215
2021-06-23;1215
2021-06-24;1215
2021-06-25;1215
2021-06-26;1273
2021-06-27;1273
2021-06-28;1280
2021-06-29;1280
2021-06-30;1280
2021-07-01;1285
2021-07-02;1289
2021-07-03;1289
2021-07-04;1289
2021-07-05;1748
2021-07-06;1837
2021-07-07;1881
2021-07-08;1907
2021-07-09;1929
2021-07-10;1979
2021-07-11;1979
2021-07-12;2010
2021-07-13;2116
2021-07-14;2116
2021-07-15;2159
2021-07-16;2195
2021-07-17;2195
2021-07-18;2195
2021-07-19;2226
2021-07-20;2273
2021-07-21;2305
2021-07-22;2334
2021-07-23;2365
