index;count
2021-05-04;9
2021-05-05;581
2021-05-06;584
2021-05-07;606
2021-05-08;606
2021-05-09;606
2021-05-10;606
2021-05-11;608
2021-05-12;608
2021-05-13;608
2021-05-14;608
2021-05-15;608
2021-05-16;608
2021-05-17;610
2021-05-18;610
2021-05-19;610
2021-05-20;610
2021-05-21;621
2021-05-22;621
2021-05-23;621
2021-05-24;621
2021-05-25;621
2021-05-26;621
2021-05-27;621
2021-05-28;621
2021-05-29;621
2021-05-30;621
2021-05-31;621
2021-06-01;621
2021-06-02;621
2021-06-03;621
2021-06-04;621
2021-06-05;621
2021-06-06;621
2021-06-07;621
2021-06-08;621
2021-06-09;621
2021-06-10;621
2021-06-11;621
2021-06-12;621
2021-06-13;621
2021-06-14;621
2021-06-15;640
2021-06-16;648
2021-06-17;648
2021-06-18;648
2021-06-19;648
2021-06-20;648
2021-06-21;656
2021-06-22;656
2021-06-23;665
2021-06-24;665
2021-06-25;665
2021-06-26;696
2021-06-27;696
2021-06-28;705
2021-06-29;705
2021-06-30;705
2021-07-01;715
2021-07-02;715
2021-07-03;715
2021-07-04;715
2021-07-05;730
2021-07-06;731
2021-07-07;1039
2021-07-08;1039
2021-07-09;1049
2021-07-10;1049
2021-07-11;1049
2021-07-12;1049
2021-07-13;1686
2021-07-14;1686
2021-07-15;1687
2021-07-16;1690
2021-07-17;1690
2021-07-18;1690
2021-07-19;1695
2021-07-20;2076
2021-07-21;2078
2021-07-22;2092
