index;count
2021-05-04;62
2021-05-05;84
2021-05-06;91
2021-05-07;91
2021-05-08;91
2021-05-09;91
2021-05-10;111
2021-05-11;129
2021-05-12;129
2021-05-13;129
2021-05-14;131
2021-05-15;131
2021-05-16;131
2021-05-17;131
2021-05-18;135
2021-05-19;135
2021-05-20;135
2021-05-21;135
2021-05-22;135
2021-05-23;135
2021-05-24;183
2021-05-25;192
2021-05-26;214
2021-05-27;236
2021-05-28;246
2021-05-29;246
2021-05-30;246
2021-05-31;246
2021-06-01;246
2021-06-02;246
2021-06-03;246
2021-06-04;246
2021-06-05;246
2021-06-06;246
2021-06-07;246
2021-06-08;246
2021-06-09;246
2021-06-10;246
2021-06-11;246
2021-06-12;246
2021-06-13;246
2021-06-14;246
2021-06-15;246
2021-06-16;246
2021-06-17;246
2021-06-18;246
2021-06-19;246
2021-06-20;246
2021-06-21;246
2021-06-22;376
2021-06-23;380
2021-06-24;390
2021-06-25;390
2021-06-26;390
2021-06-27;390
2021-06-28;390
2021-06-29;400
2021-06-30;400
2021-07-01;400
2021-07-02;400
2021-07-03;400
2021-07-04;400
2021-07-05;429
2021-07-06;441
2021-07-07;441
2021-07-08;441
2021-07-09;447
2021-07-10;447
2021-07-11;447
2021-07-12;449
2021-07-13;618
2021-07-14;619
2021-07-15;624
2021-07-16;625
2021-07-17;625
2021-07-18;625
2021-07-19;790
2021-07-20;796
2021-07-21;798
2021-07-22;806
