index;count
2021-05-04;6
2021-05-05;65
2021-05-06;82
2021-05-07;91
2021-05-08;91
2021-05-09;91
2021-05-10;96
2021-05-11;104
2021-05-12;114
2021-05-13;116
2021-05-14;116
2021-05-15;116
2021-05-16;116
2021-05-17;116
2021-05-18;122
2021-05-19;122
2021-05-20;125
2021-05-21;125
2021-05-22;125
2021-05-23;125
2021-05-24;155
2021-05-25;168
2021-05-26;177
2021-05-27;200
2021-05-28;200
2021-05-29;200
2021-05-30;200
2021-05-31;200
2021-06-01;200
2021-06-02;200
2021-06-03;200
2021-06-04;200
2021-06-05;200
2021-06-06;200
2021-06-07;210
2021-06-08;210
2021-06-09;210
2021-06-10;210
2021-06-11;210
2021-06-12;210
2021-06-13;210
2021-06-14;210
2021-06-15;210
2021-06-16;210
2021-06-17;210
2021-06-18;210
2021-06-19;210
2021-06-20;210
2021-06-21;210
2021-06-22;210
2021-06-23;210
2021-06-24;210
2021-06-25;210
2021-06-26;210
2021-06-27;210
2021-06-28;220
2021-06-29;220
2021-06-30;220
2021-07-01;220
2021-07-02;220
2021-07-03;253
2021-07-04;253
2021-07-05;258
2021-07-06;263
2021-07-07;272
2021-07-08;277
2021-07-09;287
2021-07-10;287
2021-07-11;287
2021-07-12;297
2021-07-13;307
2021-07-14;307
2021-07-15;339
2021-07-16;367
2021-07-17;367
2021-07-18;367
2021-07-19;383
2021-07-20;415
2021-07-21;430
2021-07-22;435
2021-07-23;455
