index;count
2021-05-04;107
2021-05-05;196
2021-05-06;207
2021-05-07;207
2021-05-08;207
2021-05-09;207
2021-05-10;207
2021-05-11;208
2021-05-12;208
2021-05-13;209
2021-05-14;212
2021-05-15;212
2021-05-16;212
2021-05-17;212
2021-05-18;214
2021-05-19;214
2021-05-20;214
2021-05-21;214
2021-05-22;214
2021-05-23;214
2021-05-24;243
2021-05-25;291
2021-05-26;344
2021-05-27;344
2021-05-28;353
2021-05-29;353
2021-05-30;353
2021-05-31;353
2021-06-01;364
2021-06-02;364
2021-06-03;364
2021-06-04;364
2021-06-05;364
2021-06-06;364
2021-06-07;364
2021-06-08;364
2021-06-09;364
2021-06-10;364
2021-06-11;364
2021-06-12;364
2021-06-13;364
2021-06-14;364
2021-06-15;364
2021-06-16;364
2021-06-17;364
2021-06-18;364
2021-06-19;364
2021-06-20;364
2021-06-21;364
2021-06-22;480
2021-06-23;560
2021-06-24;561
2021-06-25;561
2021-06-26;561
2021-06-27;561
2021-06-28;561
2021-06-29;577
2021-06-30;578
2021-07-01;578
2021-07-02;584
2021-07-03;584
2021-07-04;584
2021-07-05;588
2021-07-06;588
2021-07-07;588
2021-07-08;717
2021-07-09;717
2021-07-10;717
2021-07-11;717
2021-07-12;717
2021-07-13;723
2021-07-14;727
2021-07-15;848
2021-07-16;848
2021-07-17;848
2021-07-18;848
2021-07-19;848
2021-07-20;848
2021-07-21;868
2021-07-22;1017
2021-07-23;1021
