index;count
2021-05-04;23
2021-05-05;33
2021-05-06;104
2021-05-07;203
2021-05-08;206
2021-05-09;206
2021-05-10;207
2021-05-11;220
2021-05-12;363
2021-05-13;627
2021-05-14;677
2021-05-15;680
2021-05-16;680
2021-05-17;685
2021-05-18;711
2021-05-19;711
2021-05-20;725
2021-05-21;1316
2021-05-22;2359
2021-05-23;2691
2021-05-24;2691
2021-05-25;2744
2021-05-26;2744
2021-05-27;2744
2021-05-28;2744
2021-05-29;2744
2021-05-30;2744
2021-05-31;2744
2021-06-01;2744
2021-06-02;2744
2021-06-03;2744
2021-06-04;2744
2021-06-05;2744
2021-06-06;2744
2021-06-07;2744
2021-06-08;2744
2021-06-09;2744
2021-06-10;2744
2021-06-11;2744
2021-06-12;2744
2021-06-13;2744
2021-06-14;2744
2021-06-15;2818
2021-06-16;2824
2021-06-17;2824
2021-06-18;3167
2021-06-19;4501
2021-06-20;5991
2021-06-21;5991
2021-06-22;6337
2021-06-23;6337
2021-06-24;6337
2021-06-25;6337
2021-06-26;6909
2021-06-27;6909
2021-06-28;6909
2021-06-29;6909
2021-06-30;6909
2021-07-01;6990
2021-07-02;7016
2021-07-03;8986
2021-07-04;8986
2021-07-05;9849
2021-07-06;9849
2021-07-07;9849
2021-07-08;9849
2021-07-09;9849
2021-07-10;12593
2021-07-11;12593
2021-07-12;13510
2021-07-13;13717
2021-07-14;13717
2021-07-15;13920
2021-07-16;13958
2021-07-17;15547
2021-07-18;15547
2021-07-19;15719
2021-07-20;15776
2021-07-21;15777
2021-07-22;16139
2021-07-23;16202
2021-07-24;16606
