index;count
2021-05-15;5
2021-05-16;5
2021-05-17;5
2021-05-18;8
2021-05-19;8
2021-05-20;8
2021-05-21;61
2021-05-22;175
2021-05-23;175
2021-05-24;272
2021-05-25;411
2021-05-26;412
2021-05-27;412
2021-05-28;412
2021-05-29;412
2021-05-30;412
2021-05-31;412
2021-06-01;412
2021-06-02;412
2021-06-03;412
2021-06-04;412
2021-06-05;412
2021-06-06;412
2021-06-07;412
2021-06-08;412
2021-06-09;412
2021-06-10;412
2021-06-11;412
2021-06-12;412
2021-06-13;412
2021-06-14;412
2021-06-15;412
2021-06-16;412
2021-06-17;412
2021-06-18;412
2021-06-19;412
2021-06-20;412
2021-06-21;413
2021-06-22;605
2021-06-23;605
2021-06-24;620
2021-06-25;620
2021-06-26;620
2021-06-27;620
2021-06-28;620
2021-06-29;654
2021-06-30;654
2021-07-01;654
2021-07-02;654
2021-07-03;901
2021-07-04;901
2021-07-05;901
2021-07-06;912
2021-07-07;921
2021-07-08;921
2021-07-09;921
2021-07-10;921
2021-07-11;1004
2021-07-12;1004
2021-07-13;1004
2021-07-14;1004
2021-07-15;1004
2021-07-16;1004
2021-07-17;1004
2021-07-18;1004
2021-07-19;1027
2021-07-20;1030
2021-07-21;1031
2021-07-22;1031
2021-07-23;1038
