Dose Aplicada;Data;Quantidade
1ªDose;2021-01-26;11
1ªDose;2021-01-27;34
1ªDose;2021-01-28;19
1ªDose;2021-02-27;107
1ªDose;2021-03-01;9
1ªDose;2021-03-15;9
1ªDose;2021-03-23;1
1ªDose;2021-03-25;55
1ªDose;2021-03-26;277
1ªDose;2021-03-27;135
1ªDose;2021-03-30;144
1ªDose;2021-03-31;126
1ªDose;2021-04-01;5
1ªDose;2021-04-04;1
1ªDose;2021-04-05;103
1ªDose;2021-04-10;76
1ªDose;2021-04-12;1
1ªDose;2021-04-19;46
1ªDose;2021-04-20;142
1ªDose;2021-04-24;72
1ªDose;2021-04-27;1
2ªDose;2021-04-19;2
2ªDose;2021-04-20;40
2ªDose;2021-04-27;16
2ªDose;2021-04-28;5
