Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;1
1ªDose;2021-01-28;38
1ªDose;2021-01-29;60
1ªDose;2021-02-01;28
1ªDose;2021-02-02;41
1ªDose;2021-02-05;59
1ªDose;2021-02-11;11
1ªDose;2021-02-26;1
1ªDose;2021-02-27;95
1ªDose;2021-03-01;86
1ªDose;2021-03-02;33
1ªDose;2021-03-03;10
1ªDose;2021-03-04;32
1ªDose;2021-03-05;22
1ªDose;2021-03-08;6
1ªDose;2021-03-09;21
1ªDose;2021-03-10;10
1ªDose;2021-03-12;8
1ªDose;2021-03-29;452
1ªDose;2021-03-30;67
1ªDose;2021-03-31;66
1ªDose;2021-04-01;163
1ªDose;2021-04-05;110
1ªDose;2021-04-06;129
1ªDose;2021-04-07;10
1ªDose;2021-04-10;261
1ªDose;2021-04-12;33
1ªDose;2021-04-13;381
1ªDose;2021-04-15;3
1ªDose;2021-04-16;1
1ªDose;2021-04-17;823
1ªDose;2021-04-19;87
1ªDose;2021-04-20;68
1ªDose;2021-04-22;26
1ªDose;2021-04-23;12
1ªDose;2021-04-24;147
1ªDose;2021-04-26;60
1ªDose;2021-04-27;8
1ªDose;2021-04-29;1
2ªDose;2021-03-29;1
2ªDose;2021-04-09;11
2ªDose;2021-04-10;2
2ªDose;2021-04-12;27
2ªDose;2021-04-13;7
2ªDose;2021-04-15;3
2ªDose;2021-04-16;4
2ªDose;2021-04-17;3
2ªDose;2021-04-19;65
2ªDose;2021-04-20;19
2ªDose;2021-04-22;63
2ªDose;2021-04-23;23
2ªDose;2021-04-24;2
2ªDose;2021-04-26;14
2ªDose;2021-04-27;18
2ªDose;2021-04-28;63
2ªDose;2021-04-29;15
