Dose Aplicada;Data;Quantidade
1ªDose;2021-01-25;39
1ªDose;2021-01-26;11
1ªDose;2021-01-27;11
1ªDose;2021-01-28;21
1ªDose;2021-01-29;18
1ªDose;2021-02-01;11
1ªDose;2021-02-02;10
1ªDose;2021-02-26;49
1ªDose;2021-02-27;112
1ªDose;2021-03-01;96
1ªDose;2021-03-02;139
1ªDose;2021-03-29;1
1ªDose;2021-03-30;192
1ªDose;2021-04-01;15
1ªDose;2021-04-06;34
1ªDose;2021-04-10;247
1ªDose;2021-04-13;11
1ªDose;2021-04-14;9
1ªDose;2021-04-18;83
1ªDose;2021-04-26;22
1ªDose;2021-04-27;2
1ªDose;2021-04-28;1
1ªDose;2021-04-30;7
2ªDose;2021-02-26;2
2ªDose;2021-02-27;2
2ªDose;2021-04-26;40
2ªDose;2021-04-27;13
2ªDose;2021-04-28;20
2ªDose;2021-04-29;5
