Dose Aplicada;Data;Quantidade
1ªDose;2021-02-09;10
1ªDose;2021-02-11;28
1ªDose;2021-02-18;7
1ªDose;2021-02-22;1
1ªDose;2021-02-26;10
1ªDose;2021-03-01;10
1ªDose;2021-03-08;1
1ªDose;2021-03-12;9
1ªDose;2021-03-13;17
1ªDose;2021-03-18;2
1ªDose;2021-03-19;18
1ªDose;2021-03-20;18
1ªDose;2021-03-24;11
1ªDose;2021-03-25;28
1ªDose;2021-03-29;10
1ªDose;2021-03-30;28
1ªDose;2021-03-31;12
1ªDose;2021-04-05;34
1ªDose;2021-04-09;3
1ªDose;2021-04-10;27
1ªDose;2021-04-27;35
2ªDose;2021-02-11;1
2ªDose;2021-02-19;8
2ªDose;2021-02-22;2
2ªDose;2021-02-24;1
2ªDose;2021-03-05;10
2ªDose;2021-03-08;6
2ªDose;2021-03-09;10
2ªDose;2021-03-10;10
2ªDose;2021-03-16;9
2ªDose;2021-04-05;1
2ªDose;2021-04-08;7
2ªDose;2021-04-09;19
2ªDose;2021-04-15;9
2ªDose;2021-04-17;30
2ªDose;2021-04-18;6
2ªDose;2021-04-23;31
