Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;33
1ªDose;2021-01-21;9
1ªDose;2021-01-22;7
1ªDose;2021-01-25;5
1ªDose;2021-01-26;7
1ªDose;2021-01-27;6
1ªDose;2021-01-28;18
1ªDose;2021-01-29;2
1ªDose;2021-01-30;1
1ªDose;2021-02-03;1
1ªDose;2021-02-08;1
1ªDose;2021-02-09;1
1ªDose;2021-02-11;58
1ªDose;2021-02-12;1
1ªDose;2021-02-17;10
1ªDose;2021-02-18;18
1ªDose;2021-02-19;9
1ªDose;2021-02-23;28
1ªDose;2021-02-25;1
1ªDose;2021-02-26;1
1ªDose;2021-03-01;3
1ªDose;2021-03-11;13
1ªDose;2021-03-15;20
1ªDose;2021-03-16;12
1ªDose;2021-03-17;95
1ªDose;2021-03-18;53
1ªDose;2021-03-19;52
1ªDose;2021-03-22;184
1ªDose;2021-03-23;79
1ªDose;2021-03-24;47
1ªDose;2021-03-25;26
1ªDose;2021-03-26;18
1ªDose;2021-03-29;97
1ªDose;2021-03-30;67
1ªDose;2021-03-31;63
1ªDose;2021-04-01;17
1ªDose;2021-04-03;90
1ªDose;2021-04-05;86
1ªDose;2021-04-06;73
1ªDose;2021-04-07;106
1ªDose;2021-04-08;94
1ªDose;2021-04-09;107
1ªDose;2021-04-12;110
1ªDose;2021-04-13;103
1ªDose;2021-04-14;3
1ªDose;2021-04-15;1
1ªDose;2021-04-19;1
1ªDose;2021-04-22;9
2ªDose;2021-02-17;15
2ªDose;2021-02-18;11
2ªDose;2021-02-19;7
2ªDose;2021-02-22;7
2ªDose;2021-02-23;9
2ªDose;2021-02-24;6
2ªDose;2021-02-25;17
2ªDose;2021-02-26;6
2ªDose;2021-02-28;2
2ªDose;2021-03-01;3
2ªDose;2021-03-03;1
2ªDose;2021-03-04;1
2ªDose;2021-03-08;1
2ªDose;2021-03-09;2
2ªDose;2021-03-11;53
2ªDose;2021-03-15;11
2ªDose;2021-03-16;7
2ªDose;2021-03-17;5
2ªDose;2021-03-18;4
2ªDose;2021-03-19;24
2ªDose;2021-03-23;16
2ªDose;2021-03-24;8
2ªDose;2021-03-25;2
2ªDose;2021-03-31;1
2ªDose;2021-04-08;5
2ªDose;2021-04-09;5
2ªDose;2021-04-12;21
2ªDose;2021-04-13;4
2ªDose;2021-04-14;74
2ªDose;2021-04-15;77
2ªDose;2021-04-16;19
2ªDose;2021-04-19;179
2ªDose;2021-04-20;90
2ªDose;2021-04-22;46
2ªDose;2021-04-23;26
2ªDose;2021-04-26;102
2ªDose;2021-04-27;39
