Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;4
1ªDose;2021-01-21;1
1ªDose;2021-02-03;20
1ªDose;2021-02-10;44
1ªDose;2021-02-11;1
1ªDose;2021-02-26;2
1ªDose;2021-03-08;7
1ªDose;2021-03-15;50
1ªDose;2021-03-22;92
1ªDose;2021-03-25;82
1ªDose;2021-03-29;37
1ªDose;2021-04-03;26
1ªDose;2021-04-05;70
2ªDose;2021-02-08;5
2ªDose;2021-02-26;18
2ªDose;2021-03-01;9
2ªDose;2021-03-08;34
2ªDose;2021-04-03;45
2ªDose;2021-04-05;10
2ªDose;2021-04-11;47
2ªDose;2021-04-12;4
2ªDose;2021-04-18;52
2ªDose;2021-04-26;7
