;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-03-11;11.11111111111111;
2021-03-12;5.2631578947368425;
2021-03-13;3.8461538461538463;
2021-03-14;3.8461538461538463;
2021-03-15;3.8461538461538463;
2021-03-16;3.3333333333333335;
2021-03-17;5.555555555555555;
2021-03-18;5.128205128205129;
2021-03-19;4.878048780487805;
2021-03-20;4.878048780487805;
2021-03-21;4.878048780487805;
2021-03-22;4.878048780487805;
2021-03-23;4.761904761904762;
2021-03-24;2.3255813953488373;
2021-03-25;2.272727272727273;
2021-03-26;0.0;
2021-03-27;0.0;
2021-03-28;0.0;
2021-03-29;0.0;
2021-03-30;0.0;
2021-03-31;0.0;
2021-04-01;0.0;
2021-04-02;0.0;
2021-04-03;0.0;
2021-04-04;0.0;
2021-04-05;0.0;
2021-04-06;0.0;
2021-04-07;0.7142857142857143;
2021-04-08;0.0;
2021-04-09;0.0;
2021-04-10;0.0;
2021-04-11;0.0;
2021-04-12;0.0;
2021-04-13;0.0;
2021-04-14;0.0;
2021-04-15;0.4065040650406504;
2021-04-16;0.3937007874015748;
2021-04-17;0.38022813688212925;
2021-04-18;0.7537688442211056;
2021-04-19;0.4357298474945534;
2021-04-20;0.21367521367521367;
2021-04-21;0.28776978417266186;
2021-04-22;0.39893617021276595;
2021-04-23;0.6501950585175552;
2021-04-24;0.6451612903225806;
2021-04-25;0.6345177664974619;
2021-04-26;0.5076142131979695;
2021-04-27;0.5025125628140703;
2021-04-28;0.46296296296296297;
2021-04-29;0.4197271773347324;
2021-04-30;0.0;
2021-05-01;0.0;
2021-05-02;0.0;
2021-05-03;0.0;
2021-05-04;0.0;
2021-04-28;;100.0
2021-04-29;;100.0
2021-04-30;;0.0
2021-05-01;;0.0
2021-05-02;;0.0
2021-05-03;;0.0
2021-05-04;;0.0
