;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-02-19;0.0;
2021-02-20;0.0;
2021-02-21;0.0;
2021-02-22;0.0;
2021-02-23;1.6666666666666667;
2021-02-24;1.0869565217391304;
2021-02-25;3.787878787878788;
2021-02-26;4.487179487179487;
2021-02-27;5.095541401273885;
2021-02-28;5.095541401273885;
2021-03-01;4.45859872611465;
2021-03-02;4.45859872611465;
2021-03-03;3.821656050955414;
2021-03-04;4.597701149425287;
2021-03-05;4.597701149425287;
2021-03-06;4.597701149425287;
2021-03-07;4.597701149425287;
2021-03-08;4.022988505747127;
2021-03-09;4.022988505747127;
2021-03-10;3.763440860215054;
2021-03-11;5.405405405405405;
2021-03-12;6.451612903225806;
2021-03-13;8.352668213457077;
2021-03-14;8.352668213457077;
2021-03-15;6.728538283062645;
2021-03-16;5.76036866359447;
2021-03-17;6.026785714285714;
2021-03-18;5.13347022587269;
2021-03-19;5.13347022587269;
2021-03-20;5.13347022587269;
2021-03-21;5.13347022587269;
2021-03-22;4.9281314168377826;
2021-03-23;4.9281314168377826;
2021-03-24;3.696098562628337;
2021-03-25;2.4640657084188913;
2021-03-26;2.4640657084188913;
2021-03-27;2.4640657084188913;
2021-03-28;2.4640657084188913;
2021-03-29;2.4640657084188913;
2021-03-30;2.658486707566462;
2021-03-31;2.4539877300613497;
2021-04-01;2.4539877300613497;
2021-04-02;2.4539877300613497;
2021-04-03;3.2388663967611335;
2021-04-04;3.2388663967611335;
2021-04-05;3.2388663967611335;
2021-04-06;2.7944111776447107;
2021-04-07;0.7692307692307693;
2021-04-08;0.5769230769230769;
2021-04-09;0.5769230769230769;
2021-04-10;0.5769230769230769;
2021-04-11;1.6157989228007181;
2021-04-12;0.8976660682226212;
2021-04-13;0.8944543828264758;
2021-04-14;0.8802816901408451;
2021-04-15;0.8787346221441125;
2021-04-16;0.8710801393728222;
2021-04-17;0.8635578583765112;
2021-04-18;1.2006861063464838;
2021-04-19;1.0291595197255574;
2021-04-20;1.0291595197255574;
2021-04-21;1.0291595197255574;
2021-04-22;1.3289036544850499;
2021-04-23;1.9047619047619047;
2021-04-24;2.639751552795031;
2021-04-25;2.639751552795031;
2021-04-26;1.3975155279503106;
2021-04-27;1.1544011544011543;
2021-04-28;0.5755395683453237;
2021-04-29;0.18779342723004694;
2021-04-30;0.0;
2021-05-01;0.0;
2021-05-02;0.0;
2021-05-03;0.0;
2021-05-04;0.0;
2021-04-23;;20.833333333333332
2021-04-24;;55.55555555555556
2021-04-25;;55.55555555555556
2021-04-26;;54.166666666666664
2021-04-27;;23.952095808383234
2021-04-28;;18.6046511627907
2021-04-29;;4.417670682730924
2021-04-30;;0.0
2021-05-01;;0.0
2021-05-02;;0.0
2021-05-03;;0.0
2021-05-04;;0.0
