index;count
2021-05-24;42
2021-05-25;64
2021-05-26;84
2021-05-27;106
2021-05-28;127
2021-05-29;127
2021-05-30;127
2021-05-31;138
2021-06-01;138
2021-06-02;138
2021-06-03;138
2021-06-04;138
2021-06-05;138
2021-06-06;138
2021-06-07;138
2021-06-08;138
2021-06-09;138
2021-06-10;138
2021-06-11;138
2021-06-12;138
2021-06-13;138
2021-06-14;138
2021-06-15;138
2021-06-16;138
2021-06-17;138
2021-06-18;138
2021-06-19;138
2021-06-20;138
2021-06-21;138
2021-06-22;138
2021-06-23;138
2021-06-24;138
2021-06-25;138
2021-06-26;138
2021-06-27;138
2021-06-28;138
2021-06-29;138
2021-06-30;138
2021-07-01;138
2021-07-02;138
2021-07-03;238
2021-07-04;238
2021-07-05;239
2021-07-06;239
2021-07-07;239
2021-07-08;239
2021-07-09;239
2021-07-10;330
2021-07-11;330
2021-07-12;332
2021-07-13;372
2021-07-14;372
2021-07-15;378
2021-07-16;384
2021-07-17;384
2021-07-18;384
2021-07-19;431
2021-07-20;496
2021-07-21;498
2021-07-22;520
