index;count
2021-05-04;11
2021-05-05;30
2021-05-06;48
2021-05-07;52
2021-05-08;52
2021-05-09;52
2021-05-10;57
2021-05-11;57
2021-05-12;57
2021-05-13;57
2021-05-14;66
2021-05-15;66
2021-05-16;66
2021-05-17;66
2021-05-18;66
2021-05-19;67
2021-05-20;67
2021-05-21;104
2021-05-22;133
2021-05-23;779
2021-05-24;1080
2021-05-25;1159
2021-05-26;1209
2021-05-27;1256
2021-05-28;1256
2021-05-29;1290
2021-05-30;1290
2021-05-31;1360
2021-06-01;1443
2021-06-02;1473
2021-06-03;1516
2021-06-04;1563
2021-06-05;1801
2021-06-06;1862
2021-06-07;1862
2021-06-08;1862
2021-06-09;1862
2021-06-10;1862
2021-06-11;1862
2021-06-12;1862
2021-06-13;1862
2021-06-14;1862
2021-06-15;1884
2021-06-16;1926
2021-06-17;1926
2021-06-18;1926
2021-06-19;1926
2021-06-20;1926
2021-06-21;1927
2021-06-22;1968
2021-06-23;2137
2021-06-24;2385
2021-06-25;2385
2021-06-26;2385
2021-06-27;2385
2021-06-28;2385
2021-06-29;2434
2021-06-30;2434
2021-07-01;2434
2021-07-02;3295
2021-07-03;4229
2021-07-04;4229
2021-07-05;4253
2021-07-06;4300
2021-07-07;4375
2021-07-08;4379
2021-07-09;4386
2021-07-10;7309
2021-07-11;7309
2021-07-12;7347
2021-07-13;7370
2021-07-14;7402
2021-07-15;7433
2021-07-16;7440
2021-07-17;9069
2021-07-18;9080
2021-07-19;9146
2021-07-20;9169
2021-07-21;9170
2021-07-22;9194
2021-07-23;9203
2021-07-24;12456
