index;count
2021-05-04;65
2021-05-05;230
2021-05-06;381
2021-05-07;381
2021-05-08;381
2021-05-09;381
2021-05-10;381
2021-05-11;381
2021-05-12;381
2021-05-13;381
2021-05-14;381
2021-05-15;381
2021-05-16;381
2021-05-17;381
2021-05-18;381
2021-05-19;381
2021-05-20;381
2021-05-21;381
2021-05-22;381
2021-05-23;381
2021-05-24;381
2021-05-25;381
2021-05-26;381
2021-05-27;381
2021-05-28;381
2021-05-29;381
2021-05-30;381
2021-05-31;381
2021-06-01;381
2021-06-02;381
2021-06-03;381
2021-06-04;381
2021-06-05;381
2021-06-06;381
2021-06-07;381
2021-06-08;381
2021-06-09;381
2021-06-10;381
2021-06-11;381
2021-06-12;381
2021-06-13;381
2021-06-14;381
2021-06-15;381
2021-06-16;381
2021-06-17;381
2021-06-18;381
2021-06-19;381
2021-06-20;381
2021-06-21;381
2021-06-22;381
2021-06-23;381
2021-06-24;381
2021-06-25;381
2021-06-26;381
2021-06-27;381
2021-06-28;381
2021-06-29;381
2021-06-30;381
2021-07-01;381
2021-07-02;381
2021-07-03;381
2021-07-04;381
2021-07-05;597
2021-07-06;791
2021-07-07;958
2021-07-08;1078
2021-07-09;1163
2021-07-10;1285
2021-07-11;1285
2021-07-12;1341
2021-07-13;1430
2021-07-14;3592
2021-07-15;3728
2021-07-16;3825
2021-07-17;3825
2021-07-18;3825
2021-07-19;3913
2021-07-20;5199
2021-07-21;5271
2021-07-22;5279
2021-07-23;5320
