index;count
2021-05-04;70
2021-05-05;70
2021-05-06;70
2021-05-07;70
2021-05-08;70
2021-05-09;70
2021-05-10;70
2021-05-11;70
2021-05-12;70
2021-05-13;70
2021-05-14;70
2021-05-15;70
2021-05-16;70
2021-05-17;70
2021-05-18;71
2021-05-19;76
2021-05-20;76
2021-05-21;76
2021-05-22;76
2021-05-23;76
2021-05-24;104
2021-05-25;155
2021-05-26;169
2021-05-27;212
2021-05-28;212
2021-05-29;212
2021-05-30;212
2021-05-31;212
2021-06-01;214
2021-06-02;223
2021-06-03;223
2021-06-04;223
2021-06-05;223
2021-06-06;223
2021-06-07;223
2021-06-08;223
2021-06-09;223
2021-06-10;223
2021-06-11;223
2021-06-12;223
2021-06-13;223
2021-06-14;223
2021-06-15;223
2021-06-16;223
2021-06-17;223
2021-06-18;223
2021-06-19;223
2021-06-20;223
2021-06-21;223
2021-06-22;334
2021-06-23;417
2021-06-24;417
2021-06-25;417
2021-06-26;417
2021-06-27;417
2021-06-28;417
2021-06-29;417
2021-06-30;417
2021-07-01;417
2021-07-02;493
2021-07-03;493
2021-07-04;493
2021-07-05;493
2021-07-06;493
2021-07-07;493
2021-07-08;493
2021-07-09;493
2021-07-10;493
2021-07-11;493
2021-07-12;493
2021-07-13;672
2021-07-14;673
2021-07-15;673
2021-07-16;759
2021-07-17;759
2021-07-18;759
2021-07-19;759
2021-07-20;860
2021-07-21;862
2021-07-22;869
2021-07-23;874
