index;count
2021-05-25;54
2021-05-26;65
2021-05-27;98
2021-05-28;161
2021-05-29;161
2021-05-30;161
2021-05-31;172
2021-06-01;172
2021-06-02;193
2021-06-03;193
2021-06-04;193
2021-06-05;193
2021-06-06;193
2021-06-07;193
2021-06-08;193
2021-06-09;193
2021-06-10;193
2021-06-11;193
2021-06-12;193
2021-06-13;193
2021-06-14;193
2021-06-15;193
2021-06-16;193
2021-06-17;193
2021-06-18;193
2021-06-19;193
2021-06-20;193
2021-06-21;193
2021-06-22;193
2021-06-23;215
2021-06-24;215
2021-06-25;215
2021-06-26;215
2021-06-27;215
2021-06-28;215
2021-06-29;215
2021-06-30;215
2021-07-01;215
2021-07-02;215
2021-07-03;215
2021-07-04;215
2021-07-05;266
2021-07-06;286
2021-07-07;288
2021-07-08;288
2021-07-09;288
2021-07-10;288
2021-07-11;288
2021-07-12;321
2021-07-13;321
2021-07-14;321
2021-07-15;398
2021-07-16;454
2021-07-17;454
2021-07-18;454
2021-07-19;506
2021-07-20;506
2021-07-21;625
2021-07-22;626
