Dose Aplicada;Data;Quantidade
1ªDose;2021-02-10;41
1ªDose;2021-02-15;10
1ªDose;2021-02-19;11
1ªDose;2021-02-24;11
1ªDose;2021-03-01;41
1ªDose;2021-03-02;42
1ªDose;2021-03-03;22
1ªDose;2021-03-04;12
1ªDose;2021-03-06;61
1ªDose;2021-03-13;61
1ªDose;2021-03-15;10
1ªDose;2021-03-20;181
1ªDose;2021-03-24;130
1ªDose;2021-03-31;133
1ªDose;2021-04-07;78
1ªDose;2021-04-10;93
1ªDose;2021-04-17;144
1ªDose;2021-04-20;28
1ªDose;2021-04-24;46
1ªDose;2021-04-28;26
2ªDose;2021-02-15;10
2ªDose;2021-02-17;8
2ªDose;2021-02-18;2
2ªDose;2021-02-19;4
2ªDose;2021-02-24;1
2ªDose;2021-03-06;7
2ªDose;2021-03-08;23
2ªDose;2021-03-10;8
2ªDose;2021-03-15;8
2ªDose;2021-03-19;22
2ªDose;2021-03-20;1
2ªDose;2021-03-24;12
2ªDose;2021-03-29;10
2ªDose;2021-03-31;50
2ªDose;2021-04-10;59
2ªDose;2021-04-17;181
2ªDose;2021-04-20;127
2ªDose;2021-04-28;119
2ªDose;2021-04-29;22
