Dose Aplicada;Data;Quantidade
1ªDose;2021-02-11;7
1ªDose;2021-02-12;2
1ªDose;2021-02-15;5
1ªDose;2021-02-16;16
1ªDose;2021-02-23;5
1ªDose;2021-03-08;20
1ªDose;2021-03-20;85
1ªDose;2021-03-23;60
1ªDose;2021-03-25;18
1ªDose;2021-03-29;37
1ªDose;2021-03-31;15
1ªDose;2021-04-01;23
1ªDose;2021-04-05;1
1ªDose;2021-04-06;8
1ªDose;2021-04-07;10
2ªDose;2021-02-16;6
2ªDose;2021-02-18;1
2ªDose;2021-03-08;1
2ªDose;2021-03-09;1
2ªDose;2021-03-11;9
2ªDose;2021-03-20;2
2ªDose;2021-03-23;2
2ªDose;2021-03-25;2
2ªDose;2021-03-29;1
2ªDose;2021-04-05;18
2ªDose;2021-04-17;81
2ªDose;2021-04-26;1
