Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;5
1ªDose;2021-02-03;2
1ªDose;2021-02-05;1
1ªDose;2021-02-11;20
1ªDose;2021-02-18;10
1ªDose;2021-03-02;40
1ªDose;2021-03-09;30
1ªDose;2021-03-15;30
1ªDose;2021-03-22;30
1ªDose;2021-03-23;40
1ªDose;2021-03-24;60
1ªDose;2021-03-31;58
1ªDose;2021-04-05;1
1ªDose;2021-04-07;30
1ªDose;2021-04-12;34
1ªDose;2021-04-20;55
1ªDose;2021-04-27;30
2ªDose;2021-02-11;2
2ªDose;2021-02-12;5
2ªDose;2021-02-17;2
2ªDose;2021-02-22;1
2ªDose;2021-02-23;5
2ªDose;2021-02-24;1
2ªDose;2021-02-25;1
2ªDose;2021-03-01;1
2ªDose;2021-03-04;20
2ªDose;2021-03-15;10
2ªDose;2021-03-30;30
2ªDose;2021-03-31;1
2ªDose;2021-04-05;29
2ªDose;2021-04-12;30
2ªDose;2021-04-14;100
2ªDose;2021-04-22;39
2ªDose;2021-04-27;10
2ªDose;2021-04-28;10
