Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;5
1ªDose;2021-01-25;5
1ªDose;2021-01-26;2
1ªDose;2021-01-27;33
1ªDose;2021-01-28;21
1ªDose;2021-01-29;21
1ªDose;2021-02-01;8
1ªDose;2021-02-09;1
1ªDose;2021-02-10;9
1ªDose;2021-02-11;31
1ªDose;2021-02-12;4
1ªDose;2021-02-17;3
1ªDose;2021-02-18;6
1ªDose;2021-02-19;16
1ªDose;2021-02-22;3
1ªDose;2021-02-23;1
1ªDose;2021-03-01;51
1ªDose;2021-03-02;63
1ªDose;2021-03-03;80
1ªDose;2021-03-04;80
1ªDose;2021-03-05;34
1ªDose;2021-03-08;40
1ªDose;2021-03-09;74
1ªDose;2021-03-10;13
1ªDose;2021-03-11;3
1ªDose;2021-03-12;29
1ªDose;2021-03-15;37
1ªDose;2021-03-16;52
1ªDose;2021-03-17;2
1ªDose;2021-03-19;59
1ªDose;2021-03-20;250
1ªDose;2021-03-22;86
1ªDose;2021-03-23;86
1ªDose;2021-03-24;117
1ªDose;2021-03-25;79
1ªDose;2021-03-26;74
1ªDose;2021-03-29;83
1ªDose;2021-03-30;150
1ªDose;2021-03-31;67
1ªDose;2021-04-01;29
1ªDose;2021-04-05;5
1ªDose;2021-04-06;78
1ªDose;2021-04-07;49
1ªDose;2021-04-08;16
1ªDose;2021-04-09;22
1ªDose;2021-04-12;13
1ªDose;2021-04-13;51
1ªDose;2021-04-14;40
1ªDose;2021-04-15;62
1ªDose;2021-04-16;39
1ªDose;2021-04-19;66
1ªDose;2021-04-20;102
1ªDose;2021-04-22;88
1ªDose;2021-04-23;57
1ªDose;2021-04-26;24
1ªDose;2021-04-27;24
1ªDose;2021-04-28;107
1ªDose;2021-04-29;41
2ªDose;2021-01-27;1
2ªDose;2021-02-10;31
2ªDose;2021-02-11;9
2ªDose;2021-02-12;9
2ªDose;2021-02-17;6
2ªDose;2021-02-18;10
2ªDose;2021-02-19;10
2ªDose;2021-02-22;4
2ªDose;2021-02-23;1
2ªDose;2021-02-24;1
2ªDose;2021-02-26;2
2ªDose;2021-03-04;9
2ªDose;2021-03-05;8
2ªDose;2021-03-08;26
2ªDose;2021-03-09;5
2ªDose;2021-03-11;2
2ªDose;2021-03-12;9
2ªDose;2021-03-15;10
2ªDose;2021-03-23;1
2ªDose;2021-03-26;2
2ªDose;2021-03-29;41
2ªDose;2021-03-30;17
2ªDose;2021-03-31;19
2ªDose;2021-04-01;12
2ªDose;2021-04-05;90
2ªDose;2021-04-06;50
2ªDose;2021-04-07;2
2ªDose;2021-04-08;10
2ªDose;2021-04-09;114
2ªDose;2021-04-12;150
2ªDose;2021-04-13;90
2ªDose;2021-04-14;139
2ªDose;2021-04-15;83
2ªDose;2021-04-16;94
2ªDose;2021-04-19;32
2ªDose;2021-04-20;21
2ªDose;2021-04-22;98
2ªDose;2021-04-23;102
2ªDose;2021-04-26;52
2ªDose;2021-04-27;70
2ªDose;2021-04-28;48
2ªDose;2021-04-29;24
