Dose Aplicada;Data;Quantidade
1ªDose;2021-02-19;10
1ªDose;2021-03-01;10
1ªDose;2021-03-05;10
1ªDose;2021-03-09;10
1ªDose;2021-03-12;30
1ªDose;2021-03-18;9
1ªDose;2021-03-19;26
1ªDose;2021-03-20;36
1ªDose;2021-03-23;36
1ªDose;2021-03-24;9
1ªDose;2021-03-26;9
1ªDose;2021-03-29;9
1ªDose;2021-03-31;54
1ªDose;2021-04-09;27
2ªDose;2021-02-12;2
2ªDose;2021-02-15;13
2ªDose;2021-02-17;3
2ªDose;2021-02-18;3
2ªDose;2021-02-19;1
2ªDose;2021-02-23;1
2ªDose;2021-03-18;10
2ªDose;2021-03-25;10
2ªDose;2021-04-01;10
2ªDose;2021-04-06;40
2ªDose;2021-04-13;71
2ªDose;2021-04-14;1
2ªDose;2021-04-20;43
2ªDose;2021-04-23;54
2ªDose;2021-04-27;9
