Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;2
1ªDose;2021-01-22;1
1ªDose;2021-01-28;1
1ªDose;2021-02-02;2
1ªDose;2021-02-03;2
1ªDose;2021-02-05;1
1ªDose;2021-02-08;1
1ªDose;2021-02-10;33
1ªDose;2021-02-11;19
1ªDose;2021-02-12;2
1ªDose;2021-02-15;10
1ªDose;2021-02-17;19
1ªDose;2021-02-22;1
1ªDose;2021-02-23;1
1ªDose;2021-02-24;11
1ªDose;2021-03-02;1
1ªDose;2021-03-08;2
1ªDose;2021-03-09;53
1ªDose;2021-03-10;29
1ªDose;2021-03-11;41
1ªDose;2021-03-12;6
1ªDose;2021-03-15;244
1ªDose;2021-03-17;8
1ªDose;2021-03-19;124
1ªDose;2021-03-22;40
1ªDose;2021-03-23;203
1ªDose;2021-03-24;37
1ªDose;2021-03-25;188
1ªDose;2021-03-26;60
1ªDose;2021-03-27;136
1ªDose;2021-03-29;7
1ªDose;2021-03-31;185
1ªDose;2021-04-01;165
1ªDose;2021-04-05;21
1ªDose;2021-04-06;161
1ªDose;2021-04-07;8
1ªDose;2021-04-08;6
1ªDose;2021-04-09;19
1ªDose;2021-04-12;8
1ªDose;2021-04-13;10
1ªDose;2021-04-15;1
1ªDose;2021-04-22;3
1ªDose;2021-04-23;4
1ªDose;2021-04-26;6
1ªDose;2021-04-27;1
1ªDose;2021-04-29;1
1ªDose;2021-04-30;3
2ªDose;2021-02-10;1
2ªDose;2021-02-12;28
2ªDose;2021-02-15;7
2ªDose;2021-02-16;5
2ªDose;2021-02-18;98
2ªDose;2021-02-19;2
2ªDose;2021-02-20;1
2ªDose;2021-02-22;1
2ªDose;2021-02-23;1
2ªDose;2021-03-01;1
2ªDose;2021-03-04;32
2ªDose;2021-03-05;12
2ªDose;2021-03-08;12
2ªDose;2021-03-09;5
2ªDose;2021-03-10;22
2ªDose;2021-03-11;5
2ªDose;2021-03-12;1
2ªDose;2021-03-15;1
2ªDose;2021-03-16;1
2ªDose;2021-03-17;14
2ªDose;2021-03-18;1
2ªDose;2021-03-19;6
2ªDose;2021-03-22;1
2ªDose;2021-03-23;1
2ªDose;2021-03-24;2
2ªDose;2021-03-26;1
2ªDose;2021-03-27;1
2ªDose;2021-03-29;3
2ªDose;2021-03-30;48
2ªDose;2021-03-31;28
2ªDose;2021-04-01;7
2ªDose;2021-04-05;41
2ªDose;2021-04-06;3
2ªDose;2021-04-07;12
2ªDose;2021-04-08;121
2ªDose;2021-04-09;120
2ªDose;2021-04-12;71
2ªDose;2021-04-13;72
2ªDose;2021-04-14;26
2ªDose;2021-04-15;93
2ªDose;2021-04-16;5
2ªDose;2021-04-17;104
2ªDose;2021-04-19;218
2ªDose;2021-04-20;56
2ªDose;2021-04-21;46
2ªDose;2021-04-22;70
2ªDose;2021-04-23;5
2ªDose;2021-04-26;1
2ªDose;2021-04-27;8
2ªDose;2021-04-28;123
2ªDose;2021-04-29;71
2ªDose;2021-04-30;196
