Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;10
1ªDose;2021-01-21;14
1ªDose;2021-01-22;4
1ªDose;2021-01-25;2
1ªDose;2021-01-26;8
1ªDose;2021-02-01;1
1ªDose;2021-02-02;3
1ªDose;2021-02-18;10
1ªDose;2021-02-19;9
1ªDose;2021-03-12;19
1ªDose;2021-03-15;37
1ªDose;2021-03-16;20
1ªDose;2021-03-17;20
1ªDose;2021-03-18;21
1ªDose;2021-03-19;19
1ªDose;2021-03-20;49
1ªDose;2021-03-22;58
1ªDose;2021-03-23;74
1ªDose;2021-03-24;28
1ªDose;2021-03-26;19
1ªDose;2021-03-29;19
1ªDose;2021-03-30;28
1ªDose;2021-03-31;28
1ªDose;2021-04-01;28
1ªDose;2021-04-06;27
1ªDose;2021-04-07;26
2ªDose;2021-02-12;24
2ªDose;2021-02-17;3
2ªDose;2021-02-18;9
2ªDose;2021-02-25;4
2ªDose;2021-03-18;8
2ªDose;2021-03-19;10
2ªDose;2021-03-20;1
2ªDose;2021-04-08;10
2ªDose;2021-04-09;20
2ªDose;2021-04-12;19
2ªDose;2021-04-13;18
2ªDose;2021-04-14;20
2ªDose;2021-04-15;19
2ªDose;2021-04-16;47
2ªDose;2021-04-17;129
2ªDose;2021-04-20;27
2ªDose;2021-04-22;19
2ªDose;2021-04-23;18
2ªDose;2021-04-26;29
