Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;40
1ªDose;2021-01-29;37
1ªDose;2021-02-04;37
1ªDose;2021-02-05;62
1ªDose;2021-02-08;20
1ªDose;2021-02-09;7
1ªDose;2021-02-10;3
1ªDose;2021-02-16;34
1ªDose;2021-02-17;13
1ªDose;2021-02-24;1
1ªDose;2021-02-27;181
1ªDose;2021-03-01;20
1ªDose;2021-03-02;9
1ªDose;2021-03-03;32
1ªDose;2021-03-04;47
1ªDose;2021-03-05;34
1ªDose;2021-03-06;337
1ªDose;2021-03-10;2
1ªDose;2021-04-10;274
1ªDose;2021-04-12;22
1ªDose;2021-04-13;14
1ªDose;2021-04-14;12
1ªDose;2021-04-16;10
1ªDose;2021-04-17;298
1ªDose;2021-04-19;49
1ªDose;2021-04-27;2
2ªDose;2021-02-27;1
2ªDose;2021-03-02;1
2ªDose;2021-03-06;1
2ªDose;2021-04-10;1
2ªDose;2021-04-19;14
