index;count
2021-05-04;159
2021-05-05;182
2021-05-06;189
2021-05-07;200
2021-05-08;200
2021-05-09;200
2021-05-10;351
2021-05-11;367
2021-05-12;472
2021-05-13;553
2021-05-14;596
2021-05-15;596
2021-05-16;596
2021-05-17;608
2021-05-18;611
2021-05-19;611
2021-05-20;615
2021-05-21;621
2021-05-22;621
2021-05-23;621
2021-05-24;621
2021-05-25;788
2021-05-26;986
2021-05-27;1188
2021-05-28;1290
2021-05-29;1290
2021-05-30;1290
2021-05-31;1299
2021-06-01;1299
2021-06-02;1299
2021-06-03;1299
2021-06-04;1299
2021-06-05;1299
2021-06-06;1299
2021-06-07;1299
2021-06-08;1299
2021-06-09;1299
2021-06-10;1299
2021-06-11;1299
2021-06-12;1299
2021-06-13;1299
2021-06-14;1299
2021-06-15;1299
2021-06-16;1299
2021-06-17;1299
2021-06-18;1299
2021-06-19;1299
2021-06-20;1299
2021-06-21;1299
2021-06-22;1299
2021-06-23;1299
2021-06-24;1299
2021-06-25;1299
2021-06-26;1299
2021-06-27;1299
2021-06-28;1299
2021-06-29;1299
2021-06-30;1299
2021-07-01;1299
2021-07-02;1299
2021-07-03;1299
2021-07-04;1299
2021-07-05;1299
2021-07-06;1299
2021-07-07;1299
2021-07-08;1299
2021-07-09;1299
2021-07-10;1299
2021-07-11;1299
2021-07-12;1479
2021-07-13;1641
2021-07-14;1641
2021-07-15;1909
2021-07-16;2085
