Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-20;2
1ªDose;2021-01-21;2
1ªDose;2021-01-26;1
1ªDose;2021-01-29;7
1ªDose;2021-02-01;47
1ªDose;2021-02-02;456
1ªDose;2021-02-03;663
1ªDose;2021-02-04;687
1ªDose;2021-02-05;555
1ªDose;2021-02-06;759
1ªDose;2021-02-07;53
1ªDose;2021-02-08;476
1ªDose;2021-02-09;312
1ªDose;2021-02-10;1308
1ªDose;2021-02-11;1149
1ªDose;2021-02-12;615
1ªDose;2021-02-13;26
1ªDose;2021-02-15;399
1ªDose;2021-02-16;61
1ªDose;2021-02-17;153
1ªDose;2021-02-18;190
1ªDose;2021-02-19;150
1ªDose;2021-02-20;75
1ªDose;2021-02-22;261
1ªDose;2021-02-23;143
1ªDose;2021-02-24;116
1ªDose;2021-02-25;273
1ªDose;2021-02-26;246
1ªDose;2021-02-27;23
1ªDose;2021-03-01;54
1ªDose;2021-03-02;2727
1ªDose;2021-03-03;2448
1ªDose;2021-03-04;4169
1ªDose;2021-03-05;3924
1ªDose;2021-03-06;1209
1ªDose;2021-03-07;388
1ªDose;2021-03-08;1468
1ªDose;2021-03-09;1793
1ªDose;2021-03-10;799
1ªDose;2021-03-11;371
1ªDose;2021-03-12;293
1ªDose;2021-03-13;3
1ªDose;2021-03-15;71
1ªDose;2021-03-16;59
1ªDose;2021-03-17;71
1ªDose;2021-03-18;47
1ªDose;2021-03-19;10
1ªDose;2021-03-20;1
1ªDose;2021-03-22;19
1ªDose;2021-03-23;11
1ªDose;2021-03-24;1004
1ªDose;2021-03-25;315
1ªDose;2021-03-26;941
1ªDose;2021-03-27;227
1ªDose;2021-03-28;372
1ªDose;2021-03-29;1118
1ªDose;2021-03-30;2157
1ªDose;2021-03-31;1946
1ªDose;2021-04-01;496
1ªDose;2021-04-02;1318
1ªDose;2021-04-03;907
1ªDose;2021-04-04;426
1ªDose;2021-04-05;3485
1ªDose;2021-04-06;2490
1ªDose;2021-04-07;3259
1ªDose;2021-04-08;1476
1ªDose;2021-04-09;1257
1ªDose;2021-04-10;352
1ªDose;2021-04-11;2022
1ªDose;2021-04-12;3553
1ªDose;2021-04-13;4268
1ªDose;2021-04-14;1958
1ªDose;2021-04-15;1189
1ªDose;2021-04-16;805
1ªDose;2021-04-17;277
1ªDose;2021-04-18;2047
1ªDose;2021-04-19;3575
1ªDose;2021-04-20;3732
1ªDose;2021-04-21;619
1ªDose;2021-04-22;2262
1ªDose;2021-04-23;1152
1ªDose;2021-04-24;952
1ªDose;2021-04-25;72
1ªDose;2021-04-26;3032
1ªDose;2021-04-27;1893
1ªDose;2021-04-28;1469
1ªDose;2021-04-29;639
1ªDose;2021-04-30;362
1ªDose;2021-05-01;11
2ªDose;2021-02-02;1
2ªDose;2021-02-03;1
2ªDose;2021-02-04;2
2ªDose;2021-02-10;10
2ªDose;2021-02-11;3
2ªDose;2021-02-12;4
2ªDose;2021-02-15;3
2ªDose;2021-02-16;4
2ªDose;2021-02-24;2
2ªDose;2021-02-25;1
2ªDose;2021-03-02;3
2ªDose;2021-03-03;4
2ªDose;2021-03-04;5
2ªDose;2021-03-05;4
2ªDose;2021-03-06;2
2ªDose;2021-03-07;1
2ªDose;2021-03-09;2
2ªDose;2021-03-10;1
2ªDose;2021-03-11;1
2ªDose;2021-03-26;1
2ªDose;2021-03-31;1
2ªDose;2021-04-01;1
2ªDose;2021-04-02;4
2ªDose;2021-04-05;2
2ªDose;2021-04-06;2
2ªDose;2021-04-07;1
2ªDose;2021-04-11;1
2ªDose;2021-04-12;4
2ªDose;2021-04-13;3
2ªDose;2021-04-14;3
2ªDose;2021-04-15;3
2ªDose;2021-04-16;1
2ªDose;2021-04-17;2
2ªDose;2021-04-18;4
2ªDose;2021-04-19;10
2ªDose;2021-04-20;9
2ªDose;2021-04-21;1
2ªDose;2021-04-22;6
2ªDose;2021-04-23;9
2ªDose;2021-04-24;1
2ªDose;2021-04-26;10
2ªDose;2021-04-27;12
2ªDose;2021-04-28;3
2ªDose;2021-04-29;16
2ªDose;2021-04-30;5
