index;count
2021-05-04;81
2021-05-05;106
2021-05-06;133
2021-05-07;144
2021-05-08;144
2021-05-09;144
2021-05-10;306
2021-05-11;380
2021-05-12;422
2021-05-13;427
2021-05-14;450
2021-05-15;450
2021-05-16;450
2021-05-17;458
2021-05-18;462
2021-05-19;462
2021-05-20;523
2021-05-21;600
2021-05-22;600
2021-05-23;600
2021-05-24;887
2021-05-25;998
2021-05-26;1060
2021-05-27;1070
2021-05-28;1070
2021-05-29;1070
2021-05-30;1070
2021-05-31;1070
2021-06-01;1070
2021-06-02;1070
2021-06-03;1070
2021-06-04;1070
2021-06-05;1070
2021-06-06;1070
2021-06-07;1070
2021-06-08;1070
2021-06-09;1070
2021-06-10;1070
2021-06-11;1070
2021-06-12;1070
2021-06-13;1070
2021-06-14;1070
2021-06-15;1070
2021-06-16;1070
2021-06-17;1070
2021-06-18;1070
2021-06-19;1070
2021-06-20;1070
2021-06-21;1070
2021-06-22;1070
2021-06-23;1070
2021-06-24;1070
2021-06-25;1070
2021-06-26;1070
2021-06-27;1070
2021-06-28;1070
2021-06-29;1070
2021-06-30;1070
2021-07-01;1070
2021-07-02;1070
2021-07-03;1070
2021-07-04;1070
2021-07-05;1128
2021-07-06;1149
2021-07-07;1181
2021-07-08;1197
2021-07-09;1206
2021-07-10;1206
2021-07-11;1206
2021-07-12;1213
2021-07-13;1655
2021-07-14;1655
2021-07-15;1698
2021-07-16;1708
2021-07-17;1708
2021-07-18;1708
2021-07-19;1715
2021-07-20;1717
