index;count
2021-05-07;1
2021-05-08;1
2021-05-09;1
2021-05-10;1
2021-05-11;3
2021-05-12;5
2021-05-13;6
2021-05-14;6
2021-05-15;6
2021-05-16;6
2021-05-17;6
2021-05-18;7
2021-05-19;7
2021-05-20;7
2021-05-21;7
2021-05-22;7
2021-05-23;7
2021-05-24;324
2021-05-25;356
2021-05-26;356
2021-05-27;356
2021-05-28;356
2021-05-29;356
2021-05-30;356
2021-05-31;358
2021-06-01;358
2021-06-02;358
2021-06-03;358
2021-06-04;358
2021-06-05;358
2021-06-06;358
2021-06-07;358
2021-06-08;358
2021-06-09;358
2021-06-10;358
2021-06-11;358
2021-06-12;358
2021-06-13;358
2021-06-14;358
2021-06-15;358
2021-06-16;358
2021-06-17;358
2021-06-18;358
2021-06-19;358
2021-06-20;358
2021-06-21;358
2021-06-22;358
2021-06-23;358
2021-06-24;358
2021-06-25;358
2021-06-26;358
2021-06-27;358
2021-06-28;358
2021-06-29;358
2021-06-30;358
2021-07-01;358
2021-07-02;358
2021-07-03;358
2021-07-04;358
2021-07-05;358
2021-07-06;358
2021-07-07;410
2021-07-08;410
2021-07-09;410
2021-07-10;410
2021-07-11;410
2021-07-12;413
2021-07-13;416
2021-07-14;416
2021-07-15;504
2021-07-16;549
2021-07-17;549
2021-07-18;549
2021-07-19;550
2021-07-20;551
