index;count
2021-05-04;34
2021-05-05;34
2021-05-06;35
2021-05-07;35
2021-05-08;126
2021-05-09;126
2021-05-10;138
2021-05-11;141
2021-05-12;159
2021-05-13;163
2021-05-14;164
2021-05-15;164
2021-05-16;164
2021-05-17;171
2021-05-18;195
2021-05-19;199
2021-05-20;206
2021-05-21;238
2021-05-22;339
2021-05-23;339
2021-05-24;351
2021-05-25;361
2021-05-26;362
2021-05-27;362
2021-05-28;362
2021-05-29;362
2021-05-30;362
2021-05-31;362
2021-06-01;362
2021-06-02;362
2021-06-03;362
2021-06-04;362
2021-06-05;362
2021-06-06;362
2021-06-07;362
2021-06-08;362
2021-06-09;362
2021-06-10;362
2021-06-11;362
2021-06-12;362
2021-06-13;362
2021-06-14;362
2021-06-15;362
2021-06-16;362
2021-06-17;362
2021-06-18;362
2021-06-19;362
2021-06-20;362
2021-06-21;362
2021-06-22;362
2021-06-23;362
2021-06-24;362
2021-06-25;362
2021-06-26;362
2021-06-27;362
2021-06-28;362
2021-06-29;362
2021-06-30;362
2021-07-01;362
2021-07-02;362
2021-07-03;362
2021-07-04;362
2021-07-05;362
2021-07-06;401
2021-07-07;447
2021-07-08;466
2021-07-09;466
2021-07-10;466
2021-07-11;466
2021-07-12;470
2021-07-13;579
2021-07-14;612
2021-07-15;630
2021-07-16;630
2021-07-17;630
2021-07-18;630
2021-07-19;630
2021-07-20;630
2021-07-21;630
2021-07-22;636
2021-07-23;650
