index;count
2021-05-04;66
2021-05-05;155
2021-05-06;216
2021-05-07;299
2021-05-08;299
2021-05-09;299
2021-05-10;456
2021-05-11;626
2021-05-12;712
2021-05-13;764
2021-05-14;810
2021-05-15;810
2021-05-16;810
2021-05-17;845
2021-05-18;877
2021-05-19;899
2021-05-20;925
2021-05-21;972
2021-05-22;1107
2021-05-23;1192
2021-05-24;1334
2021-05-25;1691
2021-05-26;1956
2021-05-27;2030
2021-05-28;2032
2021-05-29;2053
2021-05-30;2053
2021-05-31;2054
2021-06-01;2054
2021-06-02;2054
2021-06-03;2054
2021-06-04;2054
2021-06-05;2054
2021-06-06;2054
2021-06-07;2054
2021-06-08;2054
2021-06-09;2054
2021-06-10;2055
2021-06-11;2055
2021-06-12;2055
2021-06-13;2055
2021-06-14;2055
2021-06-15;2055
2021-06-16;2055
2021-06-17;2055
2021-06-18;2055
2021-06-19;2055
2021-06-20;2055
2021-06-21;2055
2021-06-22;2055
2021-06-23;2055
2021-06-24;2055
2021-06-25;2055
2021-06-26;2055
2021-06-27;2055
2021-06-28;2055
2021-06-29;2056
2021-06-30;2056
2021-07-01;2056
2021-07-02;2056
2021-07-03;2056
2021-07-04;2056
2021-07-05;2056
2021-07-06;2056
2021-07-07;2092
2021-07-08;2104
2021-07-09;2124
2021-07-10;2509
2021-07-11;2962
2021-07-12;3283
2021-07-13;3528
2021-07-14;3580
2021-07-15;3683
2021-07-16;3987
2021-07-17;4033
2021-07-18;4037
2021-07-19;4095
2021-07-20;4214
2021-07-21;4318
2021-07-22;4372
2021-07-23;4401
2021-07-24;4403
