index;count
2021-05-04;317
2021-05-05;507
2021-05-06;865
2021-05-07;1073
2021-05-08;1074
2021-05-09;1074
2021-05-10;1903
2021-05-11;2238
2021-05-12;2275
2021-05-13;2311
2021-05-14;2451
2021-05-15;2451
2021-05-16;2452
2021-05-17;2530
2021-05-18;2712
2021-05-19;2726
2021-05-20;2757
2021-05-21;2790
2021-05-22;2790
2021-05-23;2790
2021-05-24;2837
2021-05-25;2960
2021-05-26;3629
2021-05-27;4093
2021-05-28;4370
2021-05-29;4371
2021-05-30;4399
2021-05-31;5150
2021-06-01;5231
2021-06-02;5240
2021-06-03;5250
2021-06-04;5280
2021-06-05;5280
2021-06-06;5280
2021-06-07;5284
2021-06-08;5290
2021-06-09;5291
2021-06-10;5298
2021-06-11;5298
2021-06-12;5298
2021-06-13;5298
2021-06-14;5299
2021-06-15;5304
2021-06-16;5304
2021-06-17;5306
2021-06-18;5310
2021-06-19;5312
2021-06-20;5312
2021-06-21;5324
2021-06-22;5324
2021-06-23;5324
2021-06-24;5324
2021-06-25;5324
2021-06-26;5328
2021-06-27;5328
2021-06-28;5330
2021-06-29;5330
2021-06-30;5330
2021-07-01;5330
2021-07-02;5330
2021-07-03;5330
2021-07-04;5330
2021-07-05;5403
2021-07-06;5408
2021-07-07;6121
2021-07-08;6493
2021-07-09;6771
2021-07-10;6771
2021-07-11;6771
2021-07-12;7010
2021-07-13;7351
2021-07-14;7464
2021-07-15;7722
2021-07-16;7906
2021-07-17;7906
2021-07-18;7906
2021-07-19;7926
2021-07-20;7929
2021-07-21;7958
2021-07-22;7958
2021-07-23;7959
