index;count
2021-05-04;79
2021-05-05;129
2021-05-06;146
2021-05-07;149
2021-05-08;149
2021-05-09;149
2021-05-10;151
2021-05-11;164
2021-05-12;184
2021-05-13;189
2021-05-14;192
2021-05-15;193
2021-05-16;193
2021-05-17;193
2021-05-18;194
2021-05-19;223
2021-05-20;234
2021-05-21;246
2021-05-22;255
2021-05-23;255
2021-05-24;282
2021-05-25;305
2021-05-26;345
2021-05-27;375
2021-05-28;377
2021-05-29;377
2021-05-30;377
2021-05-31;377
2021-06-01;394
2021-06-02;394
2021-06-03;394
2021-06-04;394
2021-06-05;394
2021-06-06;394
2021-06-07;394
2021-06-08;394
2021-06-09;394
2021-06-10;394
2021-06-11;394
2021-06-12;394
2021-06-13;394
2021-06-14;394
2021-06-15;394
2021-06-16;394
2021-06-17;394
2021-06-18;394
2021-06-19;394
2021-06-20;394
2021-06-21;394
2021-06-22;394
2021-06-23;394
2021-06-24;394
2021-06-25;394
2021-06-26;394
2021-06-27;394
2021-06-28;394
2021-06-29;394
2021-06-30;394
2021-07-01;394
2021-07-02;394
2021-07-03;394
2021-07-04;394
2021-07-05;396
2021-07-06;401
2021-07-07;405
2021-07-08;405
2021-07-09;406
2021-07-10;408
2021-07-11;408
2021-07-12;413
2021-07-13;453
2021-07-14;511
2021-07-15;516
2021-07-16;518
2021-07-17;520
