index;count
2021-05-04;83
2021-05-05;91
2021-05-06;94
2021-05-07;117
2021-05-08;117
2021-05-09;117
2021-05-10;143
2021-05-11;206
2021-05-12;206
2021-05-13;206
2021-05-14;207
2021-05-15;218
2021-05-16;218
2021-05-17;222
2021-05-18;222
2021-05-19;236
2021-05-20;236
2021-05-21;387
2021-05-22;387
2021-05-23;387
2021-05-24;670
2021-05-25;733
2021-05-26;779
2021-05-27;783
2021-05-28;805
2021-05-29;805
2021-05-30;805
2021-05-31;805
2021-06-01;806
2021-06-02;808
2021-06-03;808
2021-06-04;808
2021-06-05;808
2021-06-06;808
2021-06-07;808
2021-06-08;808
2021-06-09;808
2021-06-10;808
2021-06-11;808
2021-06-12;808
2021-06-13;808
2021-06-14;808
2021-06-15;808
2021-06-16;808
2021-06-17;808
2021-06-18;808
2021-06-19;808
2021-06-20;808
2021-06-21;808
2021-06-22;808
2021-06-23;808
2021-06-24;808
2021-06-25;808
2021-06-26;808
2021-06-27;808
2021-06-28;808
2021-06-29;808
2021-06-30;808
2021-07-01;808
2021-07-02;808
2021-07-03;808
2021-07-04;808
2021-07-05;986
2021-07-06;1035
2021-07-07;1067
2021-07-08;1079
2021-07-09;1083
2021-07-10;1083
2021-07-11;1083
2021-07-12;1094
2021-07-13;1103
2021-07-14;1401
2021-07-15;1434
2021-07-16;1469
2021-07-17;1469
2021-07-18;1469
2021-07-19;1475
2021-07-20;1479
2021-07-21;1480
