index;count
2021-05-04;123
2021-05-05;231
2021-05-06;273
2021-05-07;307
2021-05-08;529
2021-05-09;529
2021-05-10;706
2021-05-11;728
2021-05-12;785
2021-05-13;845
2021-05-14;871
2021-05-15;875
2021-05-16;875
2021-05-17;903
2021-05-18;925
2021-05-19;934
2021-05-20;981
2021-05-21;1057
2021-05-22;1135
2021-05-23;1135
2021-05-24;1513
2021-05-25;1703
2021-05-26;1763
2021-05-27;1796
2021-05-28;1840
2021-05-29;1859
2021-05-30;1859
2021-05-31;1867
2021-06-01;1878
2021-06-02;1878
2021-06-03;1878
2021-06-04;1878
2021-06-05;1878
2021-06-06;1878
2021-06-07;1878
2021-06-08;1878
2021-06-09;1878
2021-06-10;1878
2021-06-11;1878
2021-06-12;1878
2021-06-13;1878
2021-06-14;1878
2021-06-15;1878
2021-06-16;1878
2021-06-17;1878
2021-06-18;1878
2021-06-19;1878
2021-06-20;1878
2021-06-21;1878
2021-06-22;1878
2021-06-23;1878
2021-06-24;1878
2021-06-25;1878
2021-06-26;1878
2021-06-27;1878
2021-06-28;1878
2021-06-29;1878
2021-06-30;1878
2021-07-01;1878
2021-07-02;1878
2021-07-03;1878
2021-07-04;1878
2021-07-05;1878
2021-07-06;1958
2021-07-07;2010
2021-07-08;2054
2021-07-09;2057
2021-07-10;2060
2021-07-11;2060
2021-07-12;2063
2021-07-13;2355
2021-07-14;2735
2021-07-15;2788
2021-07-16;2818
2021-07-17;2827
2021-07-18;2827
2021-07-19;2835
2021-07-20;2837
2021-07-21;2839
