index;count
2021-05-04;191
2021-05-05;238
2021-05-06;238
2021-05-07;238
2021-05-08;238
2021-05-09;238
2021-05-10;392
2021-05-11;433
2021-05-12;454
2021-05-13;475
2021-05-14;489
2021-05-15;489
2021-05-16;490
2021-05-17;493
2021-05-18;527
2021-05-19;527
2021-05-20;550
2021-05-21;620
2021-05-22;620
2021-05-23;620
2021-05-24;639
2021-05-25;641
2021-05-26;907
2021-05-27;961
2021-05-28;972
2021-05-29;972
2021-05-30;972
2021-05-31;982
2021-06-01;994
2021-06-02;994
2021-06-03;1005
2021-06-04;1005
2021-06-05;1005
2021-06-06;1005
2021-06-07;1005
2021-06-08;1015
2021-06-09;1020
2021-06-10;1031
2021-06-11;1031
2021-06-12;1031
2021-06-13;1031
2021-06-14;1031
2021-06-15;1041
2021-06-16;1041
2021-06-17;1043
2021-06-18;1043
2021-06-19;1043
2021-06-20;1043
2021-06-21;1043
2021-06-22;1052
2021-06-23;1052
2021-06-24;1052
2021-06-25;1052
2021-06-26;1052
2021-06-27;1052
2021-06-28;1063
2021-06-29;1063
2021-06-30;1063
2021-07-01;1063
2021-07-02;1075
2021-07-03;1075
2021-07-04;1075
2021-07-05;1082
2021-07-06;1082
2021-07-07;1082
2021-07-08;1082
2021-07-09;1082
2021-07-10;1082
2021-07-11;1082
2021-07-12;1228
2021-07-13;1436
2021-07-14;1436
2021-07-15;1440
2021-07-16;1444
2021-07-17;1444
2021-07-18;1444
2021-07-19;1446
2021-07-20;1447
